min_ready_time       max_ready_time      
10295469             10295515            
10545020             10545066            
10558489             10558703            
10706552             10706728            
10987213             10987260            
11043964             11043992            
11100501             11100524            
11182974             11183025            
11238839             11238918            
11254320             11254346            
11334630             11334676            
11342593             11342790            
10864980             11348995            
10792244             11413338            
11520800             11520951            
11673789             11673861            
11767313             11767365            
11882015             11882038            
11890379             11890482            
11897296             11897429            
12322129             12322188            
12389767             12389837            
11956766             12579600            
12167510             12775954            
12873430             12873491            
