min_ready_time       max_ready_time      
10558489             10558703            
11882015             11882038            
11897296             11897429            
11334630             11334676            
10545020             10545066            
11520800             11520951            
11767313             11767365            
11100501             11100524            
11182974             11183025            
11890379             11890482            
12322129             12322188            
12167510             12775954            
10706552             10706728            
11342593             11342790            
12873430             12873491            
11238839             11238918            
11673789             11673861            
10295469             10295515            
11254320             11254346            
10792244             11413338            
11043964             11043992            
12389767             12389837            
10987213             10987260            
10864980             11348995            
11956766             12579600            
