# p50 latency (s) vs qps
# qps           istio           st2-NIChaRes    st3-TokRev      st4-AudUpd      st5-AttUpd     
50              0.027           0.027           0.027           0.026           0.027
100             0.026           0.024           0.024           0.025           0.050
150             0.023           0.022           0.023           0.024           0.023
200             0.023           0.021           0.020           0.022           0.022
250             0.023           0.021           0.019           0.021           0.018
300             0.022           0.022           0.024           0.021           0.021
350             0.020           0.019           0.020           0.024           0.019
400             0.020           0.018           0.020           0.019           0.019
450             0.019           0.020           0.019           0.020           0.020
500             0.019           0.019           0.046           0.078           0.019
