# rps  istio_p50  istio_p90  istio_p99  st5-AttUpd_p50  st5-AttUpd_p90  st5-AttUpd_p99
100  26.102057  50.807436  347.849993  25.858343  37.598236  166.538520
200  23.273625  28.285072  45.561720  23.116825  28.116383  43.334304
400  24.041286  31.964376  78.777692  23.707736  31.115170  52.304374
800  33.149740  3383.914333  8890.579028  47.093013  5731.812445  12939.212174
1200  35.578514  73.144670  658.517891  36.581593  1059.611371  4637.040213
1600  29.966711  56.845051  103.430901  30.573922  64.728017  2633.990964
2000  26.765679  50.587720  85.782385  26.974022  50.805946  85.880282
2400  40.345029  787.327190  2288.232355  3291.872618  7789.929353  12296.797461
2800  7709.777699  14421.875019  18820.785927  8921.254597  15619.191146  19949.184962
3200  16329.884445  26930.391312  31933.662270  16434.236492  27263.794200  31941.987873
