# Pooled-histogram latency for istio
# QPS        p50(ms)      p90(ms)      p99(ms)
  100        26.10        50.81        347.85      
  200        23.27        28.29        45.56       
  400        24.04        31.96        78.78       
  800        33.15        3383.91      8890.58     
  1200       35.58        73.14        658.52      
  1600       29.97        56.85        103.43      
  2000       26.77        50.59        85.78       
  2400       40.35        787.33       2288.23     
  2800       7709.78      14421.88     18820.79    
  3200       16329.88     26930.39     31933.66    
