# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
100  50.807436  48.536600  4.240072  37.598236  39.651800  6.319827
200  28.285072  28.131800  0.440383  28.116383  27.883800  0.378914
400  31.964376  31.624600  0.652814  31.115170  30.685400  0.462154
800  3383.914333  3154.533400  1083.952162  5731.812445  5277.080600  2167.670393
1200  73.144670  70.994200  2.730008  1059.611371  779.429400  1195.296089
1600  56.845051  55.727000  1.621421  64.728017  83.215000  69.312734
2000  50.587720  49.960600  2.189867  50.805946  49.925400  2.288879
2400  787.327190  725.957400  456.989095  7789.929353  6898.079000  3071.348427
2800  14421.875019  14186.904600  1253.889308  15619.191146  15333.784600  1368.877508
3200  26930.391312  26697.727000  1480.479732  27263.794200  27072.920600  985.863702
