# Total Running+Ready pods over sweep, aggregated across 10 runs (istio)
# t_sec             mean      stddev     n
  0                4.000       0.000    10
  1                4.000       0.000    10
  2                4.000       0.000    10
  3                4.000       0.000    10
  4                4.000       0.000    10
  5                4.000       0.000    10
  6                4.000       0.000    10
  7                4.000       0.000    10
  8                4.000       0.000    10
  9                4.000       0.000    10
  10               4.000       0.000    10
  11               4.000       0.000    10
  12               4.000       0.000    10
  13               4.000       0.000    10
  14               4.000       0.000    10
  15               4.000       0.000    10
  16               4.000       0.000    10
  17               4.000       0.000    10
  18               4.000       0.000    10
  19               4.000       0.000    10
  20               4.000       0.000    10
  21               4.000       0.000    10
  22               4.100       0.300    10
  23               4.100       0.300    10
  24               4.100       0.300    10
  25               4.100       0.300    10
  26               4.100       0.300    10
  27               4.100       0.300    10
  28               4.100       0.300    10
  29               4.100       0.300    10
  30               4.800       0.872    10
  31               5.700       0.640    10
  32               6.200       0.600    10
  33               6.200       0.600    10
  34               6.200       0.600    10
  35               6.200       0.600    10
  36               6.400       0.490    10
  37               6.400       0.490    10
  38               6.400       0.490    10
  39               6.400       0.490    10
  40               6.400       0.490    10
  41               6.400       0.490    10
  42               6.400       0.490    10
  43               6.400       0.490    10
  44               6.600       0.490    10
  45               6.700       0.458    10
  46               7.000       0.000    10
  47               7.000       0.000    10
  48               7.000       0.000    10
  49               7.000       0.000    10
  50               7.000       0.000    10
  51               7.000       0.000    10
  52               7.000       0.000    10
  53               7.000       0.000    10
  54               7.000       0.000    10
  55               7.000       0.000    10
  56               7.000       0.000    10
  57               7.000       0.000     9
  58               7.000       0.000    10
  59               7.000       0.000    10
  60               7.000       0.000     9
  61               7.000       0.000    10
  62               7.100       0.300    10
  63               7.100       0.300    10
  64               7.100       0.300    10
  65               7.100       0.300    10
  66               7.100       0.300    10
  67               7.100       0.300    10
  68               7.111       0.314     9
  69               7.100       0.300    10
  70               7.100       0.300    10
  71               7.100       0.300    10
  72               7.100       0.300    10
  73               7.100       0.300    10
  74               7.100       0.300    10
  75               7.111       0.314     9
  76               7.100       0.300    10
  77               7.100       0.300    10
  78               7.100       0.300    10
  79               7.100       0.300    10
  80               7.100       0.300    10
  81               7.100       0.300    10
  82               7.100       0.300    10
  83               7.100       0.300    10
  84               7.100       0.300    10
  85               7.100       0.300    10
  86               7.100       0.300    10
  87               7.100       0.300    10
  88               7.100       0.300    10
  89               7.100       0.300    10
  90               7.100       0.300    10
  91               7.100       0.300    10
  92               7.100       0.300    10
  93               7.100       0.300    10
  94               7.100       0.300    10
  95               7.100       0.300    10
  96               7.100       0.300    10
  97               7.100       0.300    10
  98               7.100       0.300    10
  99               7.100       0.300    10
  100              7.100       0.300    10
  101              7.100       0.300    10
  102              7.100       0.300    10
  103              7.100       0.300    10
  104              7.100       0.300    10
  105              7.100       0.300    10
  106              7.111       0.314     9
  107              7.100       0.300    10
  108              7.100       0.300    10
  109              7.100       0.300    10
  110              7.100       0.300    10
  111              7.100       0.300    10
  112              7.100       0.300    10
  113              7.100       0.300    10
  114              7.111       0.314     9
  115              7.111       0.314     9
  116              7.100       0.300    10
  117              7.100       0.300    10
  118              7.100       0.300    10
  119              7.100       0.300    10
  120              7.100       0.300    10
  121              7.100       0.300    10
  122              7.100       0.300    10
  123              7.100       0.300    10
  124              7.100       0.300    10
  125              7.100       0.300    10
  126              7.100       0.300    10
  127              7.100       0.300    10
  128              7.100       0.300    10
  129              7.100       0.300    10
  130              7.100       0.300    10
  131              7.100       0.300    10
  132              7.100       0.300    10
  133              7.100       0.300    10
  134              7.111       0.314     9
  135              7.100       0.300    10
  136              7.200       0.400    10
  137              7.200       0.400    10
  138              7.200       0.400    10
  139              7.200       0.400    10
  140              7.200       0.400    10
  141              7.200       0.400    10
  142              7.200       0.400    10
  143              7.200       0.400    10
  144              7.200       0.400    10
  145              7.200       0.400    10
  146              7.200       0.400    10
  147              7.200       0.400    10
  148              7.200       0.400    10
  149              7.300       0.458    10
  150              7.300       0.458    10
  151              7.700       0.458    10
  152              7.700       0.458    10
  153              7.900       0.539    10
  154              7.900       0.539    10
  155              7.900       0.539    10
  156              7.900       0.539    10
  157              8.100       0.539    10
  158              8.100       0.539    10
  159              8.111       0.567     9
  160              8.100       0.539    10
  161              8.100       0.539    10
  162              8.100       0.539    10
  163              8.100       0.539    10
  164              8.100       0.539    10
  165              8.100       0.539    10
  166              8.300       0.458    10
  167              8.300       0.458    10
  168              8.300       0.458    10
  169              8.300       0.458    10
  170              8.300       0.458    10
  171              8.300       0.458    10
  172              8.300       0.458    10
  173              8.300       0.458    10
  174              8.300       0.458    10
  175              8.300       0.458    10
  176              8.300       0.458    10
  177              8.300       0.458    10
  178              8.300       0.458    10
  179              8.300       0.458    10
  180              8.400       0.490    10
  181              8.400       0.490    10
  182              8.444       0.497     9
  183              8.400       0.490    10
  184              8.400       0.490    10
  185              8.400       0.490    10
  186              8.400       0.490    10
  187              8.400       0.490    10
  188              8.400       0.490    10
  189              8.400       0.490    10
  190              8.400       0.490    10
  191              8.400       0.490    10
  192              8.400       0.490    10
  193              8.400       0.490    10
  194              8.400       0.490    10
  195              8.400       0.490    10
  196              8.400       0.490    10
  197              8.400       0.490    10
  198              8.400       0.490    10
