# Total Running+Ready pods over sweep, aggregated across 10 runs (st5-AttUpd)
# t_sec             mean      stddev     n
  0                4.000       0.000    10
  1                4.000       0.000    10
  2                4.000       0.000    10
  3                4.000       0.000    10
  4                4.000       0.000    10
  5                4.000       0.000    10
  6                4.000       0.000     9
  7                4.000       0.000    10
  8                4.000       0.000    10
  9                4.000       0.000    10
  10               4.000       0.000    10
  11               4.000       0.000    10
  12               4.000       0.000    10
  13               4.000       0.000    10
  14               4.000       0.000    10
  15               4.000       0.000    10
  16               4.000       0.000    10
  17               4.000       0.000    10
  18               4.000       0.000    10
  19               4.000       0.000    10
  20               4.000       0.000    10
  21               4.000       0.000    10
  22               4.000       0.000    10
  23               4.000       0.000    10
  24               4.000       0.000    10
  25               4.000       0.000    10
  26               4.000       0.000    10
  27               4.000       0.000    10
  28               4.000       0.000    10
  29               4.100       0.300    10
  30               4.800       0.980    10
  31               5.500       0.922    10
  32               5.700       0.900    10
  33               5.900       1.044    10
  34               5.900       1.044    10
  35               6.000       1.095    10
  36               6.000       1.095    10
  37               6.000       1.095    10
  38               6.000       1.095    10
  39               6.000       1.095    10
  40               6.000       1.095    10
  41               6.000       1.095    10
  42               6.000       1.095    10
  43               6.000       1.095    10
  44               6.100       1.136    10
  45               6.500       0.806    10
  46               6.600       0.663    10
  47               6.700       0.458    10
  48               6.700       0.458    10
  49               6.700       0.458    10
  50               6.700       0.458    10
  51               6.700       0.458    10
  52               6.700       0.458    10
  53               6.700       0.458    10
  54               6.667       0.471     9
  55               6.667       0.471     9
  56               6.700       0.458    10
  57               6.700       0.458    10
  58               6.700       0.458    10
  59               6.700       0.458    10
  60               6.800       0.400    10
  61               6.800       0.400    10
  62               6.800       0.400    10
  63               6.800       0.400    10
  64               6.800       0.400    10
  65               6.800       0.400    10
  66               6.800       0.400    10
  67               6.800       0.400    10
  68               6.800       0.400    10
  69               6.800       0.400    10
  70               6.800       0.400    10
  71               6.800       0.400    10
  72               6.800       0.400    10
  73               6.800       0.400    10
  74               6.800       0.400    10
  75               6.800       0.400    10
  76               6.800       0.400    10
  77               6.800       0.400    10
  78               6.800       0.400    10
  79               6.800       0.400    10
  80               6.800       0.400    10
  81               6.800       0.400    10
  82               6.800       0.400    10
  83               6.800       0.400    10
  84               6.800       0.400    10
  85               6.800       0.400    10
  86               6.800       0.400    10
  87               6.800       0.400    10
  88               6.800       0.400    10
  89               6.800       0.400    10
  90               6.800       0.400    10
  91               6.800       0.400    10
  92               6.778       0.416     9
  93               6.800       0.400    10
  94               6.800       0.400    10
  95               6.800       0.400    10
  96               6.800       0.400    10
  97               6.800       0.400    10
  98               6.800       0.400    10
  99               6.800       0.400    10
  100              6.800       0.400    10
  101              6.800       0.400    10
  102              6.800       0.400    10
  103              6.778       0.416     9
  104              6.900       0.539    10
  105              6.900       0.539    10
  106              6.900       0.539    10
  107              6.900       0.539    10
  108              6.900       0.539    10
  109              6.900       0.539    10
  110              6.900       0.539    10
  111              6.900       0.539    10
  112              6.900       0.539    10
  113              6.900       0.539    10
  114              6.900       0.539    10
  115              6.900       0.539    10
  116              6.900       0.539    10
  117              6.900       0.539    10
  118              6.900       0.539    10
  119              6.900       0.539    10
  120              6.900       0.539    10
  121              6.778       0.416     9
  122              6.900       0.539    10
  123              6.900       0.539    10
  124              6.900       0.539    10
  125              6.900       0.539    10
  126              6.900       0.539    10
  127              6.900       0.539    10
  128              6.900       0.539    10
  129              6.900       0.539    10
  130              6.900       0.539    10
  131              6.900       0.539    10
  132              6.900       0.539    10
  133              6.900       0.539    10
  134              6.900       0.539    10
  135              6.900       0.539    10
  136              6.900       0.539    10
  137              6.900       0.539    10
  138              6.900       0.539    10
  139              6.889       0.567     9
  140              6.900       0.539    10
  141              6.900       0.539    10
  142              6.900       0.539    10
  143              6.900       0.539    10
  144              6.900       0.539    10
  145              6.900       0.539    10
  146              6.900       0.539    10
  147              6.900       0.539    10
  148              6.900       0.539    10
  149              6.900       0.539    10
  150              7.200       1.077    10
  151              7.500       1.118    10
  152              7.600       1.114    10
  153              7.500       1.118    10
  154              7.500       1.118    10
  155              7.500       1.118    10
  156              7.600       1.114    10
  157              7.600       1.114    10
  158              7.600       1.114    10
  159              7.600       1.114    10
  160              7.600       1.114    10
  161              7.600       1.114    10
  162              7.600       1.114    10
  163              7.600       1.114    10
  164              7.700       1.005    10
  165              7.900       0.943    10
  166              8.100       0.700    10
  167              8.100       0.700    10
  168              8.100       0.700    10
  169              8.100       0.700    10
  170              8.100       0.700    10
  171              8.100       0.700    10
  172              8.100       0.700    10
  173              8.100       0.700    10
  174              8.111       0.737     9
  175              8.100       0.700    10
  176              8.100       0.700    10
  177              8.100       0.700    10
  178              8.100       0.700    10
  179              8.100       0.700    10
  180              8.100       0.700    10
  181              8.111       0.737     9
  182              8.111       0.737     9
  183              8.100       0.700    10
  184              8.100       0.700    10
  185              8.100       0.700    10
  186              8.100       0.700    10
  187              8.100       0.700    10
  188              8.100       0.700    10
  189              8.100       0.700    10
  190              8.100       0.700    10
  191              8.100       0.700    10
  192              8.100       0.700    10
  193              8.100       0.700    10
  194              8.222       0.629     9
  195              8.100       0.700    10
  196              8.100       0.700    10
  197              8.100       0.700    10
