# pooled-histogram percentiles vs per-run mean+/-std
#   rps strat        n_runs  n_samples   p50_pool   p50_mean   p50_std   p90_pool   p90_mean   p90_std   p99_pool   p99_mean   p99_std
    100 istio            10     104822     26.102     25.839     0.303     50.807     48.537     4.240    347.850    325.693   117.894
    100 st5-AttUpd       10     104791     25.858     25.492     0.499     37.598     39.652     6.320    166.539    223.510   243.767
    200 istio            10     209295     23.274     23.178     0.277     28.285     28.132     0.440     45.562     45.560     3.097
    200 st5-AttUpd       10     209318     23.117     23.025     0.248     28.116     27.884     0.379     43.334     42.968     1.578
    400 istio            10     437626     24.041     23.845     0.202     31.964     31.625     0.653     78.778     87.468    34.990
    400 st5-AttUpd       10     437677     23.708     23.481     0.233     31.115     30.685     0.462     52.304     52.927     4.451
    800 istio            10     891331     33.150     32.535     2.841   3383.914   3154.533  1083.952   8890.579   8379.877  1619.885
    800 st5-AttUpd       10     889290     47.093    104.925   117.603   5731.812   5277.081  2167.670  12939.212  11710.429  3062.572
   1200 istio            10    1322969     35.579     34.917     0.489     73.145     70.994     2.730    658.518    623.804   144.068
   1200 st5-AttUpd       10    1322645     36.582     37.164     6.791   1059.611    779.429  1195.296   4637.040   3768.131  2045.683
   1600 istio            10    1764023     29.967     29.692     0.261     56.845     55.727     1.621    103.431    118.403    53.993
   1600 st5-AttUpd       10    1765104     30.574     29.815     0.820     64.728     83.215    69.313   2633.991   2216.350  1256.166
   2000 istio            10    2204640     26.766     26.252     0.810     50.588     49.961     2.190     85.782     84.410     4.313
   2000 st5-AttUpd       10    2204690     26.974     26.167     0.870     50.806     49.925     2.289     85.880     84.945     4.490
   2400 istio            10    2650041     40.345     42.348    15.991    787.327    725.957   456.989   2288.232   1845.061   797.953
   2400 st5-AttUpd       10    2542928   3291.873   3261.015  1432.020   7789.929   6898.079  3071.348  12296.797   9503.196  4219.843
   2800 istio            10    2673072   7709.778   7425.228   801.868  14421.875  14186.905  1253.889  18820.786  18159.554  1511.899
   2800 st5-AttUpd       10    2645962   8921.255   8448.818  1032.862  15619.191  15333.785  1368.878  19949.185  19176.512  1540.124
   3200 istio            10    2656630  16329.884  15637.708   768.909  26930.391  26697.727  1480.480  31933.662  31206.301  1586.876
   3200 st5-AttUpd       10    2640709  16434.236  15861.349   708.110  27263.794  27072.921   985.864  31941.988  31655.551   874.027
