# pooled-histogram percentiles vs per-run mean+/-std
#   rps strat        n_runs  n_samples   p50_pool   p50_mean   p50_std   p90_pool   p90_mean   p90_std   p99_pool   p99_mean   p99_std
    100 istio            10     104664     36.863     36.247     3.614     47.863     46.233     4.188     65.614     63.259     6.570
    100 st5-AttUpd       10     104672     35.913     35.436     1.114     46.716     46.364     1.626     64.004     63.018     3.046
    200 istio            10     209323     40.313     39.605     2.513     57.910     56.757     4.125     86.578     84.372     7.434
    200 st5-AttUpd       10     209312     45.884     44.693     7.211     68.009     64.489    10.443    104.851     98.312    17.210
    300 istio            10     315690     64.206     61.273     5.483    142.605    138.463    22.428    327.358    313.685    53.268
    300 st5-AttUpd       10     315718     72.177     69.685     3.684    181.516    176.908    15.212    405.869    394.425    52.578
    400 istio            10     422998    770.008   1462.783  1522.759   6180.427   4673.535  4139.512  13556.515   8095.008  6140.706
    400 st5-AttUpd       10     416115    504.520   2584.921  3542.712  10264.318   6223.461  7597.597  20615.833   9450.352 10078.574
    500 istio            10     442408  10732.869  11718.041  4763.382  24092.049  21594.111  7087.046  33340.128  28706.946  7739.506
    500 st5-AttUpd       10     430445  11315.278  12417.023  5148.128  25609.046  23361.125  7606.863  37947.963  30652.875  8395.768
    600 istio            10     442173  19530.187  19698.482  4710.173  36741.092  34540.748  6856.933  46733.345  42258.967  7137.356
    600 st5-AttUpd       10     432858  21256.482  21140.274  4177.644  37625.748  36170.956  6498.340  49505.403  43998.949  6744.229
    700 istio            10     442572  27538.906  26568.293  3859.507  45864.705  44761.087  5566.704  55595.427  52348.887  5724.893
    700 st5-AttUpd       10     432294  27760.936  27402.239  3823.271  46728.768  45996.441  5838.899  58227.984  53780.849  5875.544
    800 istio            10     447384  33260.028  31717.785  3194.067  53279.421  52861.337  5715.505  64531.029  60744.703  5739.552
    800 st5-AttUpd       10     432090  34433.633  33092.402  2523.902  55017.200  54876.569  4585.596  65815.456  62580.363  4662.747
