# Pooled-histogram latency for istio
# QPS        p50(ms)      p90(ms)      p99(ms)
  100        26.35        32.05        89.67       
  200        23.21        28.25        45.97       
  400        23.51        31.12        112.02      
  800        30.52        2849.91      8177.91     
  1200       33.55        61.63        150.92      
  1600       30.79        59.35        153.27      
  2000       27.92        55.98        255.76      
  2400       40.17        768.26       5537.59     
  2800       6709.05      14580.47     20665.41    
  3200       17427.22     27933.61     32693.31    
