# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
100  26.347839  26.096600  0.534902  26.363441  26.088600  0.414232
200  23.205359  22.986200  0.363767  22.900328  22.703000  0.211324
400  23.505557  23.290200  0.242071  23.079482  22.895000  0.170833
800  30.523141  29.888600  1.791975  55.025052  245.925400  599.851424
1200  33.548386  33.005400  0.720906  33.318529  32.991000  1.657886
1600  30.789819  30.288600  0.409831  30.647417  29.792600  0.970064
2000  27.917132  27.131800  0.746507  28.060927  27.117400  0.739295
2400  40.174816  110.787800  227.207430  1516.455474  2892.743000  3135.089559
2800  6709.046879  6770.072600  2198.744612  8461.546608  8513.944600  2894.841669
3200  17427.223918  16403.659800  846.032631  16413.295431  15782.706200  929.568026
