# rps  istio_p50  istio_p90  istio_p99  st5-AttUpd_p50  st5-AttUpd_p90  st5-AttUpd_p99
50  27.100534  32.371336  44.690488  27.251398  32.394250  42.162106
100  25.927738  31.773462  102.451622  26.314027  31.852127  52.504833
200  25.239445  43.303092  624.061400  24.514732  36.325288  377.142156
300  26.276032  5596.930549  11565.447075  26.762582  6220.282415  12497.356731
400  43.753542  13283.958467  20060.350147  1588.283711  15582.386021  23577.453562
500  5057.541978  16095.875321  20942.912702  11495.869450  23901.308732  34081.861172
600  12246.777881  20877.730170  25464.309623  21797.414732  31863.980292  38334.073964
700  16800.267227  24929.961263  30570.503339  22779.002255  33334.969063  40717.605842
800  23337.067953  35161.598595  41054.320893  30354.907844  40476.114892  49074.310245
900  31404.663952  44278.679157  51022.311695  36497.107539  48476.216075  59677.161605
1000  36505.638873  48005.600014  54203.144546  41650.162363  54277.328112  63646.373611
1100  39044.916367  50177.370105  59341.084917  43897.894181  55391.979972  66463.212037
1200  42279.537280  54287.139941  60683.320993  49558.806126  62235.732639  71732.960400
