# Pooled-histogram latency for istio
# QPS        p50(ms)      p90(ms)      p99(ms) 
  50         27.10        32.37        44.69       
  100        25.93        31.77        102.45      
  200        25.24        43.30        624.06      
  300        26.28        5596.93      11565.45    
  400        43.75        13283.96     20060.35    
  500        5057.54      16095.88     20942.91    
  600        12246.78     20877.73     25464.31    
  700        16800.27     24929.96     30570.50    
  800        23337.07     35161.60     41054.32    
  900        31404.66     44278.68     51022.31    
  1000       36505.64     48005.60     54203.14    
  1100       39044.92     50177.37     59341.08    
  1200       42279.54     54287.14     60683.32    
