# rps  istio_pooled   istio_mean    istio_std    st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
50     27.100534      26.813400     0.655824     27.251398          26.973400        0.835291
100    25.927738      25.629400     0.472261     26.314027          25.968600        0.402548
200    25.239445      24.831000     0.573377     24.514732          24.139800        0.444865
300    26.276032      25.914200     1.206867     26.762582          26.157400        1.272477
400    43.753542      1204.434200   2491.907668  1588.283711        2183.095000      2945.858204
500    5057.541978    3318.667800   2827.909967  11495.869450       11033.599000     5856.326835
600    12246.777881   11109.989400  4048.562687  21797.414732       21230.386200     5411.319079
700    16800.267227   16101.375000  3873.645331  22779.002255       22881.074200     5610.326552
800    23337.067953   23905.893400  7270.199671  30354.907844       30452.939800     4631.404192
900    31404.663952   33102.232600  7334.715840  36497.107539       36886.936600     5527.221179
1000   36505.638873   37653.707800  5289.733683  41650.162363       41766.091800     4733.264221
1100   39044.916367   40547.122200  6275.434652  43897.894181       43977.931800     3269.015636
1200   42279.537280   44184.370200  5087.271135  49558.806126       49391.205400     3572.531941
