# rps  istio_pooled  istio_mean    istio_std    st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
50     32.371336     32.123800     0.675917     32.394250          32.215000        0.862558
100    31.773462     31.536600     0.558166     31.852127          31.557400        0.467280
200    43.303092     43.736600     11.411208    36.325288          36.216600        4.530498
300    5596.930549   5193.317400   2221.079852  6220.282415        5871.615000      1316.323312
400    13283.958467  12554.239000  2853.828212  15582.386021       14706.277400     3703.725920
500    16095.875321  15757.311000  1505.423492  23901.308732       21882.469400     5655.696259
600    20877.730170  19977.829400  2774.314465  31863.980292       30125.259800     4816.388540
700    24929.961263  23910.808600  3045.497243  33334.969063       31028.018200     5078.680596
800    35161.598595  30464.408600  6323.531627  40476.114892       38682.623000     4721.126036
900    44278.679157  39855.717400  7357.079682  48476.216075       47018.802200     6174.900434
1000   48005.600014  44803.685400  5602.892567  54277.328112       53074.328600     5409.445566
1100   50177.370105  46746.827800  7024.815222  55391.979972       54794.648600     5299.143863
1200   54287.139941  50561.023000  6332.679170  62235.732639       61689.035800     5238.513666
