strategy,service,rps,run,pending_pod_seconds,pods_added,pending_time_per_pod
istio,details-v1,500,benchmark1.5-05-20-26_235948,3,1,3.0000
istio,details-v1,500,benchmark1.5-05-21-26_020438,3,1,3.0000
istio,details-v1,500,benchmark1.5-05-21-26_035218,3,1,3.0000
istio,details-v1,500,benchmark1.5-05-21-26_053922,3,1,3.0000
istio,details-v1,500,benchmark1.5-05-21-26_091625,3,1,3.0000
istio,details-v1,500,benchmark1.5-05-21-26_110416,4,1,4.0000
istio,details-v1,500,benchmark1.5-05-21-26_125250,4,1,4.0000
istio,details-v1,500,benchmark1.5-05-21-26_144042,3,1,3.0000
istio,details-v1,500,benchmark1.5-05-21-26_162813,3,1,3.0000
istio,details-v1,500,benchmark1.5-05-21-26_181553,4,1,4.0000
istio,productpage-v1,500,benchmark1.5-05-20-26_235948,22,6,3.6667
istio,productpage-v1,500,benchmark1.5-05-21-26_020438,20,7,2.8571
istio,productpage-v1,500,benchmark1.5-05-21-26_035218,26,8,3.2500
istio,productpage-v1,500,benchmark1.5-05-21-26_053922,28,8,3.5000
istio,productpage-v1,500,benchmark1.5-05-21-26_091625,26,8,3.2500
istio,productpage-v1,500,benchmark1.5-05-21-26_110416,22,6,3.6667
istio,productpage-v1,500,benchmark1.5-05-21-26_125250,23,8,2.8750
istio,productpage-v1,500,benchmark1.5-05-21-26_144042,20,6,3.3333
istio,productpage-v1,500,benchmark1.5-05-21-26_162813,28,8,3.5000
istio,productpage-v1,500,benchmark1.5-05-21-26_181553,22,8,2.7500
istio,ratings-v1,500,benchmark1.5-05-20-26_235948,0,0,
istio,ratings-v1,500,benchmark1.5-05-21-26_020438,0,0,
istio,ratings-v1,500,benchmark1.5-05-21-26_035218,0,0,
istio,ratings-v1,500,benchmark1.5-05-21-26_053922,0,0,
istio,ratings-v1,500,benchmark1.5-05-21-26_091625,0,0,
istio,ratings-v1,500,benchmark1.5-05-21-26_110416,0,0,
istio,ratings-v1,500,benchmark1.5-05-21-26_125250,0,0,
istio,ratings-v1,500,benchmark1.5-05-21-26_144042,0,0,
istio,ratings-v1,500,benchmark1.5-05-21-26_162813,0,0,
istio,ratings-v1,500,benchmark1.5-05-21-26_181553,0,0,
istio,reviews-v1,500,benchmark1.5-05-20-26_235948,3,1,3.0000
istio,reviews-v1,500,benchmark1.5-05-21-26_020438,3,1,3.0000
istio,reviews-v1,500,benchmark1.5-05-21-26_035218,3,1,3.0000
istio,reviews-v1,500,benchmark1.5-05-21-26_053922,4,1,4.0000
istio,reviews-v1,500,benchmark1.5-05-21-26_091625,3,1,3.0000
istio,reviews-v1,500,benchmark1.5-05-21-26_110416,0,0,
istio,reviews-v1,500,benchmark1.5-05-21-26_125250,3,1,3.0000
istio,reviews-v1,500,benchmark1.5-05-21-26_144042,0,0,
istio,reviews-v1,500,benchmark1.5-05-21-26_162813,0,0,
istio,reviews-v1,500,benchmark1.5-05-21-26_181553,3,1,3.0000
istio,reviews-v2,500,benchmark1.5-05-20-26_235948,8,3,2.6667
istio,reviews-v2,500,benchmark1.5-05-21-26_020438,3,1,3.0000
istio,reviews-v2,500,benchmark1.5-05-21-26_035218,10,3,3.3333
istio,reviews-v2,500,benchmark1.5-05-21-26_053922,6,2,3.0000
istio,reviews-v2,500,benchmark1.5-05-21-26_091625,6,2,3.0000
istio,reviews-v2,500,benchmark1.5-05-21-26_110416,7,2,3.5000
istio,reviews-v2,500,benchmark1.5-05-21-26_125250,3,1,3.0000
istio,reviews-v2,500,benchmark1.5-05-21-26_144042,10,3,3.3333
istio,reviews-v2,500,benchmark1.5-05-21-26_162813,9,3,3.0000
istio,reviews-v2,500,benchmark1.5-05-21-26_181553,7,2,3.5000
istio,reviews-v3,500,benchmark1.5-05-20-26_235948,3,1,3.0000
istio,reviews-v3,500,benchmark1.5-05-21-26_020438,5,2,2.5000
istio,reviews-v3,500,benchmark1.5-05-21-26_035218,7,2,3.5000
istio,reviews-v3,500,benchmark1.5-05-21-26_053922,7,2,3.5000
istio,reviews-v3,500,benchmark1.5-05-21-26_091625,10,3,3.3333
istio,reviews-v3,500,benchmark1.5-05-21-26_110416,7,2,3.5000
istio,reviews-v3,500,benchmark1.5-05-21-26_125250,9,3,3.0000
istio,reviews-v3,500,benchmark1.5-05-21-26_144042,3,1,3.0000
istio,reviews-v3,500,benchmark1.5-05-21-26_162813,6,2,3.0000
istio,reviews-v3,500,benchmark1.5-05-21-26_181553,6,2,3.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-20-26_235948,5,1,5.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-21-26_020438,6,1,6.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-21-26_035218,4,1,4.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-21-26_053922,5,1,5.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-21-26_091625,5,1,5.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-21-26_110416,5,1,5.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-21-26_125250,4,1,4.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-21-26_144042,5,1,5.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-21-26_162813,6,1,6.0000
st5-AttUpd,details-v1,500,benchmark1.5-05-21-26_181553,4,1,4.0000
st5-AttUpd,productpage-v1,500,benchmark1.5-05-20-26_235948,29,6,4.8333
st5-AttUpd,productpage-v1,500,benchmark1.5-05-21-26_020438,37,8,4.6250
st5-AttUpd,productpage-v1,500,benchmark1.5-05-21-26_035218,37,8,4.6250
st5-AttUpd,productpage-v1,500,benchmark1.5-05-21-26_053922,37,8,4.6250
st5-AttUpd,productpage-v1,500,benchmark1.5-05-21-26_091625,35,8,4.3750
st5-AttUpd,productpage-v1,500,benchmark1.5-05-21-26_110416,35,7,5.0000
st5-AttUpd,productpage-v1,500,benchmark1.5-05-21-26_125250,34,7,4.8571
st5-AttUpd,productpage-v1,500,benchmark1.5-05-21-26_144042,36,8,4.5000
st5-AttUpd,productpage-v1,500,benchmark1.5-05-21-26_162813,41,8,5.1250
st5-AttUpd,productpage-v1,500,benchmark1.5-05-21-26_181553,30,7,4.2857
st5-AttUpd,ratings-v1,500,benchmark1.5-05-20-26_235948,0,0,
st5-AttUpd,ratings-v1,500,benchmark1.5-05-21-26_020438,0,0,
st5-AttUpd,ratings-v1,500,benchmark1.5-05-21-26_035218,0,0,
st5-AttUpd,ratings-v1,500,benchmark1.5-05-21-26_053922,0,0,
st5-AttUpd,ratings-v1,500,benchmark1.5-05-21-26_091625,0,0,
st5-AttUpd,ratings-v1,500,benchmark1.5-05-21-26_110416,0,0,
