strategy,rps,run,total_pending_pod_seconds
istio,50,benchmark1.5-05-20-26_235948,7
istio,50,benchmark1.5-05-21-26_020438,3
istio,50,benchmark1.5-05-21-26_035218,0
istio,50,benchmark1.5-05-21-26_053922,4
istio,50,benchmark1.5-05-21-26_091625,7
istio,50,benchmark1.5-05-21-26_110416,6
istio,50,benchmark1.5-05-21-26_125250,6
istio,50,benchmark1.5-05-21-26_144042,4
istio,50,benchmark1.5-05-21-26_162813,0
istio,50,benchmark1.5-05-21-26_181553,6
istio,100,benchmark1.5-05-20-26_235948,13
istio,100,benchmark1.5-05-21-26_020438,10
istio,100,benchmark1.5-05-21-26_035218,9
istio,100,benchmark1.5-05-21-26_053922,10
istio,100,benchmark1.5-05-21-26_091625,14
istio,100,benchmark1.5-05-21-26_110416,8
istio,100,benchmark1.5-05-21-26_125250,9
istio,100,benchmark1.5-05-21-26_144042,10
istio,100,benchmark1.5-05-21-26_162813,9
istio,100,benchmark1.5-05-21-26_181553,19
istio,200,benchmark1.5-05-20-26_235948,23
istio,200,benchmark1.5-05-21-26_020438,26
istio,200,benchmark1.5-05-21-26_035218,19
istio,200,benchmark1.5-05-21-26_053922,20
istio,200,benchmark1.5-05-21-26_091625,24
istio,200,benchmark1.5-05-21-26_110416,19
istio,200,benchmark1.5-05-21-26_125250,18
istio,200,benchmark1.5-05-21-26_144042,27
istio,200,benchmark1.5-05-21-26_162813,21
istio,200,benchmark1.5-05-21-26_181553,23
istio,300,benchmark1.5-05-20-26_235948,26
istio,300,benchmark1.5-05-21-26_020438,32
istio,300,benchmark1.5-05-21-26_035218,34
istio,300,benchmark1.5-05-21-26_053922,32
istio,300,benchmark1.5-05-21-26_091625,30
istio,300,benchmark1.5-05-21-26_110416,23
istio,300,benchmark1.5-05-21-26_125250,39
istio,300,benchmark1.5-05-21-26_144042,32
istio,300,benchmark1.5-05-21-26_162813,27
istio,300,benchmark1.5-05-21-26_181553,28
istio,400,benchmark1.5-05-20-26_235948,36
istio,400,benchmark1.5-05-21-26_020438,39
istio,400,benchmark1.5-05-21-26_035218,31
istio,400,benchmark1.5-05-21-26_053922,35
istio,400,benchmark1.5-05-21-26_091625,32
istio,400,benchmark1.5-05-21-26_110416,45
istio,400,benchmark1.5-05-21-26_125250,32
istio,400,benchmark1.5-05-21-26_144042,27
istio,400,benchmark1.5-05-21-26_162813,28
istio,400,benchmark1.5-05-21-26_181553,30
istio,500,benchmark1.5-05-20-26_235948,39
istio,500,benchmark1.5-05-21-26_020438,34
istio,500,benchmark1.5-05-21-26_035218,49
istio,500,benchmark1.5-05-21-26_053922,48
istio,500,benchmark1.5-05-21-26_091625,48
istio,500,benchmark1.5-05-21-26_110416,40
istio,500,benchmark1.5-05-21-26_125250,42
istio,500,benchmark1.5-05-21-26_144042,36
istio,500,benchmark1.5-05-21-26_162813,46
istio,500,benchmark1.5-05-21-26_181553,42
istio,600,benchmark1.5-05-20-26_235948,44
istio,600,benchmark1.5-05-21-26_020438,48
istio,600,benchmark1.5-05-21-26_035218,60
istio,600,benchmark1.5-05-21-26_053922,50
istio,600,benchmark1.5-05-21-26_091625,57
istio,600,benchmark1.5-05-21-26_110416,57
istio,600,benchmark1.5-05-21-26_125250,36
istio,600,benchmark1.5-05-21-26_144042,60
istio,600,benchmark1.5-05-21-26_162813,55
istio,600,benchmark1.5-05-21-26_181553,42
istio,700,benchmark1.5-05-20-26_235948,51
istio,700,benchmark1.5-05-21-26_020438,59
istio,700,benchmark1.5-05-21-26_035218,59
istio,700,benchmark1.5-05-21-26_053922,55
istio,700,benchmark1.5-05-21-26_091625,49
istio,700,benchmark1.5-05-21-26_110416,71
istio,700,benchmark1.5-05-21-26_125250,60
istio,700,benchmark1.5-05-21-26_144042,60
istio,700,benchmark1.5-05-21-26_162813,55
istio,700,benchmark1.5-05-21-26_181553,66
istio,800,benchmark1.5-05-20-26_235948,65
istio,800,benchmark1.5-05-21-26_020438,62
istio,800,benchmark1.5-05-21-26_035218,58
istio,800,benchmark1.5-05-21-26_053922,63
istio,800,benchmark1.5-05-21-26_091625,44
istio,800,benchmark1.5-05-21-26_110416,49
istio,800,benchmark1.5-05-21-26_125250,46
istio,800,benchmark1.5-05-21-26_144042,56
istio,800,benchmark1.5-05-21-26_162813,58
istio,800,benchmark1.5-05-21-26_181553,70
istio,900,benchmark1.5-05-20-26_235948,68
istio,900,benchmark1.5-05-21-26_020438,40
istio,900,benchmark1.5-05-21-26_035218,62
istio,900,benchmark1.5-05-21-26_053922,64
