strategy,rps,second,n_runs,mean_pending_pods,stddev_pending_pods
st5-AttUpd,400,0,10,0.0000,0.0000
st5-AttUpd,400,1,10,0.0000,0.0000
st5-AttUpd,400,2,10,0.0000,0.0000
st5-AttUpd,400,3,10,0.0000,0.0000
st5-AttUpd,400,4,10,0.0000,0.0000
st5-AttUpd,400,5,10,0.0000,0.0000
st5-AttUpd,400,6,10,0.0000,0.0000
st5-AttUpd,400,7,10,0.0000,0.0000
st5-AttUpd,400,8,9,0.0000,0.0000
st5-AttUpd,400,9,10,0.0000,0.0000
st5-AttUpd,400,10,10,0.0000,0.0000
st5-AttUpd,400,11,10,0.0000,0.0000
st5-AttUpd,400,12,10,0.0000,0.0000
st5-AttUpd,400,13,10,0.0000,0.0000
st5-AttUpd,400,14,10,0.0000,0.0000
st5-AttUpd,400,15,10,0.0000,0.0000
st5-AttUpd,400,16,10,0.0000,0.0000
st5-AttUpd,400,17,10,0.0000,0.0000
st5-AttUpd,400,18,10,0.0000,0.0000
st5-AttUpd,400,19,10,0.0000,0.0000
st5-AttUpd,400,20,10,0.0000,0.0000
st5-AttUpd,400,21,10,0.0000,0.0000
st5-AttUpd,400,22,10,0.0000,0.0000
st5-AttUpd,400,23,10,0.0000,0.0000
st5-AttUpd,400,24,10,0.0000,0.0000
st5-AttUpd,400,25,10,1.4000,2.3664
st5-AttUpd,400,26,10,3.5000,1.8409
st5-AttUpd,400,27,10,3.7000,1.4944
st5-AttUpd,400,28,10,3.7000,1.4944
st5-AttUpd,400,29,10,3.1000,1.3703
st5-AttUpd,400,30,10,2.2000,1.6193
st5-AttUpd,400,31,10,0.5000,0.8498
st5-AttUpd,400,32,10,0.0000,0.0000
st5-AttUpd,400,33,10,0.0000,0.0000
st5-AttUpd,400,34,10,0.0000,0.0000
st5-AttUpd,400,35,9,0.0000,0.0000
st5-AttUpd,400,36,10,0.0000,0.0000
st5-AttUpd,400,37,9,0.0000,0.0000
st5-AttUpd,400,38,10,0.0000,0.0000
st5-AttUpd,400,39,10,0.0000,0.0000
st5-AttUpd,400,40,10,0.0000,0.0000
st5-AttUpd,400,41,10,1.7000,1.7670
st5-AttUpd,400,42,9,1.7778,1.6415
st5-AttUpd,400,43,10,2.0000,1.6997
st5-AttUpd,400,44,10,1.9000,1.5239
st5-AttUpd,400,45,10,1.6000,1.2649
st5-AttUpd,400,46,10,0.5000,1.0801
st5-AttUpd,400,47,10,0.0000,0.0000
st5-AttUpd,400,48,10,0.0000,0.0000
st5-AttUpd,400,49,10,0.0000,0.0000
st5-AttUpd,400,50,10,0.0000,0.0000
st5-AttUpd,400,51,10,0.0000,0.0000
st5-AttUpd,400,52,10,0.0000,0.0000
st5-AttUpd,400,53,10,0.0000,0.0000
st5-AttUpd,400,54,10,0.1000,0.3162
st5-AttUpd,400,55,9,0.5556,1.6667
st5-AttUpd,400,56,10,1.0000,1.7638
st5-AttUpd,400,57,10,1.0000,1.7638
st5-AttUpd,400,58,10,1.0000,1.7638
st5-AttUpd,400,59,10,0.8000,1.3166
st5-AttUpd,400,60,10,0.3000,0.6749
st5-AttUpd,400,61,10,0.0000,0.0000
st5-AttUpd,400,62,10,0.0000,0.0000
st5-AttUpd,400,63,10,0.0000,0.0000
st5-AttUpd,400,64,10,0.0000,0.0000
st5-AttUpd,400,65,10,0.0000,0.0000
st5-AttUpd,400,66,10,0.0000,0.0000
st5-AttUpd,400,67,10,0.0000,0.0000
st5-AttUpd,400,68,10,0.0000,0.0000
st5-AttUpd,400,69,10,0.0000,0.0000
st5-AttUpd,400,70,10,0.2000,0.6325
st5-AttUpd,400,71,10,1.8000,2.0976
st5-AttUpd,400,72,10,2.5000,1.9579
st5-AttUpd,400,73,9,2.4444,2.0683
st5-AttUpd,400,74,9,2.3333,1.9365
st5-AttUpd,400,75,10,1.9000,1.6633
st5-AttUpd,400,76,9,1.1111,1.0541
st5-AttUpd,400,77,10,0.0000,0.0000
st5-AttUpd,400,78,10,0.0000,0.0000
st5-AttUpd,400,79,10,0.0000,0.0000
st5-AttUpd,400,80,10,0.0000,0.0000
st5-AttUpd,400,81,10,0.0000,0.0000
st5-AttUpd,400,82,10,0.0000,0.0000
st5-AttUpd,400,83,10,0.0000,0.0000
st5-AttUpd,400,84,10,0.0000,0.0000
st5-AttUpd,400,85,10,0.1000,0.3162
st5-AttUpd,400,86,10,0.8000,1.3166
st5-AttUpd,400,87,9,2.1111,1.4530
st5-AttUpd,400,88,10,2.2000,1.3984
st5-AttUpd,400,89,10,2.2000,1.3984
st5-AttUpd,400,90,10,1.8000,1.2293
st5-AttUpd,400,91,10,0.8000,1.1353
st5-AttUpd,400,92,10,0.0000,0.0000
st5-AttUpd,400,93,10,0.0000,0.0000
st5-AttUpd,400,94,10,0.0000,0.0000
st5-AttUpd,400,95,10,0.0000,0.0000
st5-AttUpd,400,96,10,0.0000,0.0000
st5-AttUpd,400,97,10,0.0000,0.0000
st5-AttUpd,400,98,10,0.0000,0.0000
st5-AttUpd,400,99,10,0.0000,0.0000
st5-AttUpd,400,100,10,0.0000,0.0000
st5-AttUpd,400,101,10,0.3000,0.9487
st5-AttUpd,400,102,10,0.9000,1.5239
st5-AttUpd,400,103,10,0.9000,1.5239
st5-AttUpd,400,104,10,0.9000,1.5239
st5-AttUpd,400,105,10,0.8000,1.4757
st5-AttUpd,400,106,10,0.3000,0.6749
st5-AttUpd,400,107,10,0.1000,0.3162
st5-AttUpd,400,108,10,0.0000,0.0000
st5-AttUpd,400,109,10,0.0000,0.0000
st5-AttUpd,400,110,10,0.0000,0.0000
st5-AttUpd,400,111,10,0.0000,0.0000
st5-AttUpd,400,112,10,0.0000,0.0000
st5-AttUpd,400,113,10,0.0000,0.0000
st5-AttUpd,400,114,10,0.0000,0.0000
st5-AttUpd,400,115,10,0.0000,0.0000
st5-AttUpd,400,116,10,0.1000,0.3162
st5-AttUpd,400,117,10,0.2000,0.4216
st5-AttUpd,400,118,10,0.2000,0.4216
st5-AttUpd,400,119,10,0.2000,0.4216
st5-AttUpd,400,120,9,0.2222,0.4410
istio,400,0,10,0.0000,0.0000
istio,400,1,10,0.0000,0.0000
istio,400,2,10,0.0000,0.0000
istio,400,3,10,0.0000,0.0000
istio,400,4,10,0.0000,0.0000
istio,400,5,10,0.0000,0.0000
istio,400,6,10,0.0000,0.0000
istio,400,7,10,0.0000,0.0000
istio,400,8,10,0.0000,0.0000
