strategy,service,rps,second,n_runs,mean_pods,stddev_pods
st5-AttUpd,details-v1,500,0,10,1.0000,0.0000
st5-AttUpd,details-v1,500,1,10,1.0000,0.0000
st5-AttUpd,details-v1,500,2,10,1.0000,0.0000
st5-AttUpd,details-v1,500,3,10,1.0000,0.0000
st5-AttUpd,details-v1,500,4,10,1.0000,0.0000
st5-AttUpd,details-v1,500,5,10,1.0000,0.0000
st5-AttUpd,details-v1,500,6,10,1.0000,0.0000
st5-AttUpd,details-v1,500,7,10,1.0000,0.0000
st5-AttUpd,details-v1,500,8,10,1.0000,0.0000
st5-AttUpd,details-v1,500,9,10,1.0000,0.0000
st5-AttUpd,details-v1,500,10,10,1.0000,0.0000
st5-AttUpd,details-v1,500,11,10,1.0000,0.0000
st5-AttUpd,details-v1,500,12,10,1.0000,0.0000
st5-AttUpd,details-v1,500,13,10,1.0000,0.0000
st5-AttUpd,details-v1,500,14,10,1.0000,0.0000
st5-AttUpd,details-v1,500,15,10,1.0000,0.0000
st5-AttUpd,details-v1,500,16,10,1.0000,0.0000
st5-AttUpd,details-v1,500,17,10,1.0000,0.0000
st5-AttUpd,details-v1,500,18,10,1.0000,0.0000
st5-AttUpd,details-v1,500,19,10,1.0000,0.0000
st5-AttUpd,details-v1,500,20,10,1.0000,0.0000
st5-AttUpd,details-v1,500,21,10,1.0000,0.0000
st5-AttUpd,details-v1,500,22,10,1.0000,0.0000
st5-AttUpd,details-v1,500,23,10,1.0000,0.0000
st5-AttUpd,details-v1,500,24,10,1.0000,0.0000
st5-AttUpd,details-v1,500,25,10,1.0000,0.0000
st5-AttUpd,details-v1,500,26,10,1.0000,0.0000
st5-AttUpd,details-v1,500,27,10,1.0000,0.0000
st5-AttUpd,details-v1,500,28,10,1.0000,0.0000
st5-AttUpd,details-v1,500,29,10,1.0000,0.0000
st5-AttUpd,details-v1,500,30,10,1.0000,0.0000
st5-AttUpd,details-v1,500,31,10,1.0000,0.0000
st5-AttUpd,details-v1,500,32,10,1.0000,0.0000
