strategy,rps,second,n_runs,mean_total_pods,stddev_total_pods
st5-AttUpd,50,0,10,6.0000,0.0000
st5-AttUpd,50,1,10,6.0000,0.0000
st5-AttUpd,50,2,10,6.0000,0.0000
st5-AttUpd,50,3,10,6.0000,0.0000
st5-AttUpd,50,4,10,6.0000,0.0000
st5-AttUpd,50,5,10,6.0000,0.0000
st5-AttUpd,50,6,10,6.0000,0.0000
st5-AttUpd,50,7,10,6.0000,0.0000
st5-AttUpd,50,8,10,6.0000,0.0000
st5-AttUpd,50,9,10,6.0000,0.0000
st5-AttUpd,50,10,10,6.0000,0.0000
st5-AttUpd,50,11,10,6.0000,0.0000
st5-AttUpd,50,12,10,6.0000,0.0000
st5-AttUpd,50,13,10,6.0000,0.0000
st5-AttUpd,50,14,10,6.0000,0.0000
st5-AttUpd,50,15,10,6.0000,0.0000
st5-AttUpd,50,16,10,6.0000,0.0000
st5-AttUpd,50,17,10,6.0000,0.0000
st5-AttUpd,50,18,10,6.0000,0.0000
st5-AttUpd,50,19,10,6.0000,0.0000
st5-AttUpd,50,20,10,6.0000,0.0000
st5-AttUpd,50,21,10,6.0000,0.0000
st5-AttUpd,50,22,10,6.0000,0.0000
st5-AttUpd,50,23,10,6.0000,0.0000
st5-AttUpd,50,24,10,6.0000,0.0000
st5-AttUpd,50,25,10,6.0000,0.0000
st5-AttUpd,50,26,10,6.0000,0.0000
st5-AttUpd,50,27,10,6.0000,0.0000
st5-AttUpd,50,28,10,6.0000,0.0000
st5-AttUpd,50,29,10,6.0000,0.0000
st5-AttUpd,50,30,10,6.2000,0.4216
st5-AttUpd,50,31,10,6.5000,0.5270
st5-AttUpd,50,32,10,6.8000,0.7888
st5-AttUpd,50,33,10,6.8000,0.7888
st5-AttUpd,50,34,10,6.8000,0.7888
st5-AttUpd,50,35,10,6.8000,0.7888
st5-AttUpd,50,36,10,6.8000,0.7888
st5-AttUpd,50,37,10,6.8000,0.7888
st5-AttUpd,50,38,10,6.8000,0.7888
st5-AttUpd,50,39,10,6.8000,0.7888
st5-AttUpd,50,40,10,6.8000,0.7888
st5-AttUpd,50,41,10,6.8000,0.7888
st5-AttUpd,50,42,10,6.8000,0.7888
st5-AttUpd,50,43,10,6.8000,0.7888
st5-AttUpd,50,44,10,6.8000,0.7888
st5-AttUpd,50,45,10,6.8000,0.7888
st5-AttUpd,50,46,10,7.0000,0.6667
st5-AttUpd,50,47,10,7.1000,0.7379
st5-AttUpd,50,48,10,7.1000,0.7379
st5-AttUpd,50,49,10,7.1000,0.7379
st5-AttUpd,50,50,10,7.1000,0.7379
st5-AttUpd,50,51,10,7.1000,0.7379
st5-AttUpd,50,52,10,7.1000,0.7379
st5-AttUpd,50,53,10,7.1000,0.7379
st5-AttUpd,50,54,10,7.1000,0.7379
st5-AttUpd,50,55,10,7.1000,0.7379
st5-AttUpd,50,56,10,7.1000,0.7379
st5-AttUpd,50,57,10,7.1000,0.7379
st5-AttUpd,50,58,10,7.1000,0.7379
st5-AttUpd,50,59,10,7.1000,0.7379
st5-AttUpd,50,60,10,7.1000,0.7379
st5-AttUpd,50,61,10,7.1000,0.7379
st5-AttUpd,50,62,10,7.1000,0.7379
