strategy,rps,second,n_runs,mean_total_pods,stddev_total_pods
st5-AttUpd,400,0,10,6.0000,0.0000
st5-AttUpd,400,1,10,6.0000,0.0000
st5-AttUpd,400,2,10,6.0000,0.0000
st5-AttUpd,400,3,10,6.0000,0.0000
st5-AttUpd,400,4,10,6.0000,0.0000
st5-AttUpd,400,5,10,6.0000,0.0000
st5-AttUpd,400,6,10,6.0000,0.0000
st5-AttUpd,400,7,10,6.0000,0.0000
st5-AttUpd,400,8,10,6.0000,0.0000
st5-AttUpd,400,9,10,6.0000,0.0000
st5-AttUpd,400,10,10,6.0000,0.0000
st5-AttUpd,400,11,10,6.0000,0.0000
st5-AttUpd,400,12,10,6.0000,0.0000
st5-AttUpd,400,13,10,6.0000,0.0000
st5-AttUpd,400,14,10,6.0000,0.0000
st5-AttUpd,400,15,10,6.0000,0.0000
st5-AttUpd,400,16,10,6.0000,0.0000
st5-AttUpd,400,17,10,6.0000,0.0000
st5-AttUpd,400,18,10,6.0000,0.0000
st5-AttUpd,400,19,10,6.0000,0.0000
st5-AttUpd,400,20,10,6.0000,0.0000
st5-AttUpd,400,21,10,6.0000,0.0000
st5-AttUpd,400,22,10,6.0000,0.0000
st5-AttUpd,400,23,10,6.0000,0.0000
st5-AttUpd,400,24,10,6.0000,0.0000
st5-AttUpd,400,25,10,6.0000,0.0000
st5-AttUpd,400,26,10,6.0000,0.0000
st5-AttUpd,400,27,10,6.0000,0.0000
st5-AttUpd,400,28,10,6.0000,0.0000
st5-AttUpd,400,29,10,6.6000,1.3499
st5-AttUpd,400,30,10,7.5000,2.0138
st5-AttUpd,400,31,10,9.4000,1.7764
st5-AttUpd,400,32,10,9.7000,1.4944
st5-AttUpd,400,33,10,9.7000,1.4944
st5-AttUpd,400,34,10,9.7000,1.4944
st5-AttUpd,400,35,10,9.7000,1.4944
st5-AttUpd,400,36,10,9.7000,1.4944
st5-AttUpd,400,37,10,9.7000,1.4944
st5-AttUpd,400,38,10,9.7000,1.4944
st5-AttUpd,400,39,10,9.7000,1.4944
st5-AttUpd,400,40,10,9.7000,1.4944
st5-AttUpd,400,41,10,9.7000,1.4944
st5-AttUpd,400,42,10,9.7000,1.4944
st5-AttUpd,400,43,10,9.7000,1.4944
st5-AttUpd,400,44,10,9.9000,1.2867
st5-AttUpd,400,45,10,10.4000,1.1738
st5-AttUpd,400,46,10,11.7000,0.8233
st5-AttUpd,400,47,10,11.7000,0.8233
st5-AttUpd,400,48,10,11.7000,0.8233
st5-AttUpd,400,49,10,11.7000,0.8233
st5-AttUpd,400,50,10,11.7000,0.8233
st5-AttUpd,400,51,10,11.7000,0.8233
st5-AttUpd,400,52,10,11.7000,0.8233
st5-AttUpd,400,53,10,11.7000,0.8233
st5-AttUpd,400,54,10,11.7000,0.8233
st5-AttUpd,400,55,10,11.7000,0.8233
st5-AttUpd,400,56,10,11.7000,0.8233
st5-AttUpd,400,57,10,11.7000,0.8233
st5-AttUpd,400,58,10,11.7000,0.8233
st5-AttUpd,400,59,10,12.0000,0.9428
st5-AttUpd,400,60,10,12.5000,1.6499
st5-AttUpd,400,61,10,12.7000,1.8288
st5-AttUpd,400,62,10,12.7000,1.8288
st5-AttUpd,400,63,10,12.7000,1.8288
st5-AttUpd,400,64,10,12.7000,1.8288
st5-AttUpd,400,65,10,12.7000,1.8288
st5-AttUpd,400,66,10,12.7000,1.8288
st5-AttUpd,400,67,10,12.7000,1.8288
st5-AttUpd,400,68,10,12.7000,1.8288
st5-AttUpd,400,69,10,12.7000,1.8288
st5-AttUpd,400,70,10,12.7000,1.8288
st5-AttUpd,400,71,10,12.7000,1.8288
st5-AttUpd,400,72,10,12.7000,1.8288
st5-AttUpd,400,73,10,12.8000,1.9322
st5-AttUpd,400,74,10,13.1000,1.9120
st5-AttUpd,400,75,10,14.2000,2.5298
st5-AttUpd,400,76,10,15.2000,2.6998
st5-AttUpd,400,77,10,15.2000,2.6998
st5-AttUpd,400,78,10,15.2000,2.6998
st5-AttUpd,400,79,10,15.2000,2.6998
st5-AttUpd,400,80,10,15.2000,2.6998
st5-AttUpd,400,81,10,15.2000,2.6998
st5-AttUpd,400,82,10,15.2000,2.6998
st5-AttUpd,400,83,10,15.2000,2.6998
st5-AttUpd,400,84,10,15.2000,2.6998
st5-AttUpd,400,85,10,15.2000,2.6998
st5-AttUpd,400,86,10,15.2000,2.6998
st5-AttUpd,400,87,10,15.2000,2.6998
st5-AttUpd,400,88,10,15.2000,2.6998
st5-AttUpd,400,89,10,15.6000,2.8752
st5-AttUpd,400,90,10,16.6000,2.7162
st5-AttUpd,400,91,10,17.4000,1.9551
st5-AttUpd,400,92,10,17.4000,1.9551
st5-AttUpd,400,93,10,17.4000,1.9551
st5-AttUpd,400,94,10,17.4000,1.9551
st5-AttUpd,400,95,10,17.4000,1.9551
st5-AttUpd,400,96,10,17.4000,1.9551
st5-AttUpd,400,97,10,17.4000,1.9551
st5-AttUpd,400,98,10,17.4000,1.9551
st5-AttUpd,400,99,10,17.4000,1.9551
st5-AttUpd,400,100,10,17.4000,1.9551
st5-AttUpd,400,101,10,17.4000,1.9551
st5-AttUpd,400,102,10,17.4000,1.9551
st5-AttUpd,400,103,10,17.4000,1.9551
st5-AttUpd,400,104,10,17.5000,1.9003
st5-AttUpd,400,105,10,18.0000,1.8257
st5-AttUpd,400,106,10,18.2000,1.6865
st5-AttUpd,400,107,10,18.3000,1.6364
st5-AttUpd,400,108,10,18.3000,1.6364
st5-AttUpd,400,109,10,18.3000,1.6364
st5-AttUpd,400,110,10,18.3000,1.6364
st5-AttUpd,400,111,10,18.3000,1.6364
st5-AttUpd,400,112,10,18.3000,1.6364
st5-AttUpd,400,113,10,18.3000,1.6364
st5-AttUpd,400,114,10,18.3000,1.6364
st5-AttUpd,400,115,10,18.3000,1.6364
st5-AttUpd,400,116,10,18.3000,1.6364
st5-AttUpd,400,117,10,18.3000,1.6364
st5-AttUpd,400,118,10,18.3000,1.6364
st5-AttUpd,400,119,10,18.3000,1.6364
istio,400,0,10,6.0000,0.0000
istio,400,1,10,6.0000,0.0000
istio,400,2,10,6.0000,0.0000
istio,400,3,10,6.0000,0.0000
istio,400,4,10,6.0000,0.0000
istio,400,5,10,6.0000,0.0000
istio,400,6,10,6.0000,0.0000
istio,400,7,10,6.0000,0.0000
istio,400,8,10,6.0000,0.0000
istio,400,9,10,6.0000,0.0000
istio,400,10,10,6.0000,0.0000
istio,400,11,10,6.0000,0.0000
istio,400,12,10,6.0000,0.0000
istio,400,13,10,6.0000,0.0000
istio,400,14,10,6.0000,0.0000
istio,400,15,10,6.0000,0.0000
istio,400,16,10,6.2000,0.6325
istio,400,17,10,6.2000,0.6325
istio,400,18,10,6.2000,0.6325
istio,400,19,10,6.2000,0.6325
istio,400,20,10,6.2000,0.6325
istio,400,21,10,6.2000,0.6325
istio,400,22,10,6.2000,0.6325
istio,400,23,10,6.2000,0.6325
istio,400,24,10,6.2000,0.6325
istio,400,25,10,6.2000,0.6325
istio,400,26,10,6.2000,0.6325
istio,400,27,10,6.2000,0.6325
istio,400,28,10,6.2000,0.6325
istio,400,29,10,6.2000,0.6325
istio,400,30,10,7.1000,0.8756
istio,400,31,10,9.9000,1.6633
istio,400,32,10,10.3000,1.6364
istio,400,33,10,10.3000,1.6364
istio,400,34,10,10.3000,1.6364
istio,400,35,10,10.3000,1.6364
istio,400,36,10,10.3000,1.6364
istio,400,37,10,10.3000,1.6364
istio,400,38,10,10.3000,1.6364
istio,400,39,10,10.3000,1.6364
istio,400,40,10,10.3000,1.6364
istio,400,41,10,10.3000,1.6364
istio,400,42,10,10.3000,1.6364
istio,400,43,10,10.3000,1.6364
istio,400,44,10,10.3000,1.6364
istio,400,45,10,10.9000,0.8756
istio,400,46,10,11.3000,0.6749
istio,400,47,10,11.3000,0.6749
istio,400,48,10,11.3000,0.6749
istio,400,49,10,11.3000,0.6749
istio,400,50,10,11.3000,0.6749
istio,400,51,10,11.3000,0.6749
istio,400,52,10,11.3000,0.6749
istio,400,53,10,11.3000,0.6749
istio,400,54,10,11.3000,0.6749
istio,400,55,10,11.3000,0.6749
istio,400,56,10,11.3000,0.6749
istio,400,57,10,11.3000,0.6749
istio,400,58,10,11.3000,0.6749
