strategy,rps,n_runs,mean_total_pods,stddev_total_pods
st5-AttUpd,50,10,7.1000,0.7379
st5-AttUpd,100,10,8.9000,0.5676
st5-AttUpd,200,10,11.2000,0.6325
st5-AttUpd,300,10,14.0000,0.6667
st5-AttUpd,400,10,18.3000,1.6364
st5-AttUpd,500,10,18.8000,2.3944
st5-AttUpd,600,10,20.3000,2.1628
st5-AttUpd,700,10,20.2000,3.2931
st5-AttUpd,800,10,19.1000,2.7669
st5-AttUpd,900,10,18.4000,2.0656
st5-AttUpd,1000,10,18.3000,1.6364
st5-AttUpd,1100,10,18.9000,1.6633
st5-AttUpd,1200,10,19.8000,2.8206
istio,50,10,7.3000,0.8233
istio,100,10,9.3000,0.8233
istio,200,10,12.5000,0.7071
istio,300,10,14.5000,0.7071
istio,400,10,16.1000,0.9944
istio,500,10,18.7000,1.7029
istio,600,10,20.4000,2.0656
istio,700,10,21.5000,2.2236
istio,800,10,21.4000,2.5473
istio,900,10,20.3000,2.8694
istio,1000,10,20.8000,1.9889
istio,1100,10,20.8000,2.4404
istio,1200,10,21.7000,3.5917
