# pooled-histogram percentiles vs per-run mean+/-std
#   rps strat        n_runs  n_samples   p50_pool   p50_mean   p50_std   p90_pool   p90_mean   p90_std   p99_pool   p99_mean   p99_std
     50 istio            10      52291     27.101     26.813     0.656     32.371     32.124     0.676     44.690     44.848     4.360
     50 st5-AttUpd       10      52285     27.251     26.973     0.835     32.394     32.215     0.863     42.162     42.080     1.952
    100 istio            10     104672     25.928     25.629     0.472     31.773     31.537     0.558    102.452    138.803   116.192
    100 st5-AttUpd       10     104667     26.314     25.969     0.403     31.852     31.557     0.467     52.505     65.023    46.006
    200 istio            10     209330     25.239     24.831     0.573     43.303     43.737    11.411    624.061    555.827   118.592
    200 st5-AttUpd       10     209321     24.515     24.140     0.445     36.325     36.217     4.530    377.142    452.545   406.127
    300 istio            10     323463     26.276     25.914     1.207   5596.931   5193.317  2221.080  11565.447  10118.463  2699.286
    300 st5-AttUpd       10     322788     26.763     26.157     1.272   6220.282   5871.615  1316.323  12497.357  11919.235  1970.555
    400 istio            10     456876     43.754   1204.434  2491.908  13283.958  12554.239  2853.828  20060.350  17630.851  2943.658
    400 st5-AttUpd       10     455730   1588.284   2183.095  2945.858  15582.386  14706.277  3703.726  23577.454  20868.825  4043.781
    500 istio            10     572092   5057.542   3318.668  2827.910  16095.875  15757.311  1505.423  20942.913  20316.187  1498.495
    500 st5-AttUpd       10     562263  11495.869  11033.599  5856.327  23901.309  21882.469  5655.696  34081.861  27127.018  6068.181
    600 istio            10     690722  12246.778  11109.989  4048.563  20877.730  19977.829  2774.314  25464.310  23615.592  3017.943
    600 st5-AttUpd       10     641063  21797.415  21230.386  5411.319  31863.980  30125.260  4816.389  38334.074  35281.667  4753.642
    700 istio            10     802237  16800.267  16101.375  3873.645  24929.961  23910.809  3045.497  30570.503  28332.886  3843.157
    700 st5-AttUpd       10     729846  22779.002  22881.074  5610.327  33334.969  31028.018  5078.681  40717.606  37632.131  5118.232
    800 istio            10     849081  23337.068  23905.893  7270.200  35161.599  30464.409  6323.532  41054.321  34835.358  6278.235
    800 st5-AttUpd       10     727225  30354.908  30452.940  4631.404  40476.115  38682.623  4721.126  49074.310  45423.703  5075.587
    900 istio            10     810116  31404.664  33102.233  7334.716  44278.679  39855.717  7357.080  51022.312  44241.740  7741.783
    900 st5-AttUpd       10     709603  36497.108  36886.937  5527.221  48476.216  47018.802  6174.900  59677.162  53830.661  6841.706
   1000 istio            10     796790  36505.639  37653.708  5289.734  48005.600  44803.685  5602.893  54203.145  50156.698  6013.677
   1000 st5-AttUpd       10     684246  41650.162  41766.092  4733.264  54277.328  53074.329  5409.446  63646.374  59815.400  5823.539
   1100 istio            10     858484  39044.916  40547.122  6275.435  50177.370  46746.828  7024.815  59341.085  50765.518  7359.758
   1100 st5-AttUpd       10     732000  43897.894  43977.932  3269.016  55391.980  54794.649  5299.144  66463.212  60855.454  6394.942
   1200 istio            10     862429  42279.537  44184.370  5087.271  54287.140  50561.023  6332.679  60683.321  54533.840  6447.611
   1200 st5-AttUpd       10     699692  49558.806  49391.205  3572.532  62235.733  61689.036  5238.514  71732.960  67780.649  5629.551
