# pooled-histogram percentiles vs per-run mean+/-std
#   rps strat        n_runs  n_samples   p50_pool   p50_mean   p50_std   p90_pool   p90_mean   p90_std   p99_pool   p99_mean   p99_std
     50 istio            10      52290     28.119     27.871     0.461     32.570     32.333     0.598     51.752     51.121     5.674
     50 st5-AttUpd       10      52294     28.133     27.842     0.406     32.612     32.393     0.639     45.215     44.287     1.964
    100 istio            10     104668     26.341     26.042     0.309     31.238     31.093     0.509     61.335     62.013    11.300
    100 st5-AttUpd       10     104676     26.113     25.908     0.439     31.099     30.882     0.625     48.755     48.206     2.614
    200 istio            10     209362     24.259     23.917     0.631     31.290     31.117     1.362    122.532    116.542    28.547
    200 st5-AttUpd       10     209371     24.205     23.980     0.356     31.853     31.663     1.090    132.897    129.964    26.807
    300 istio            10     317754     23.036     22.660     0.530     40.275     40.317    10.869    933.283    903.605   829.749
    300 st5-AttUpd       10     318507     23.066     22.709     0.754     54.897     93.890   158.730   1527.479   1285.768   660.648
    400 istio            10     450414     21.723     21.226     0.576    956.153   1249.266   964.201   5508.334   4677.897  1697.319
    400 st5-AttUpd       10     447864     21.917     21.383     0.655    492.983    583.575   570.383   4344.799   3730.056  1437.290
    500 istio            10     563500     22.681     22.045     0.864   4667.115   4437.196   715.185   7901.108   7640.451   808.312
    500 st5-AttUpd       10     564953     22.920     22.249     1.279   5019.885   4708.556  1160.777   8260.449   7848.448  1154.082
    600 istio            10     681893     23.851     23.183     2.326   7712.664   7465.778  1162.982  11703.845  11064.955  1515.058
    600 st5-AttUpd       10     682974     25.648     25.124     4.350   9125.975   8716.287  1636.807  14339.458  13556.316  2060.633
    700 istio            10     795871     27.534    259.637   600.697  11049.001  10729.881  1818.406  15853.895  14583.913  1975.735
    700 st5-AttUpd       10     791754   2266.551   2604.845  3964.766  15343.962  14465.433  7211.991  31774.757  19868.583  9044.755
    800 istio            10     928966   4081.261   3184.921  2782.396  15519.415  14680.063  2722.391  20347.857  18555.392  2986.444
    800 st5-AttUpd       10     882628   6623.159   5072.578  4491.424  17436.155  16714.137  3232.074  24351.947  22102.208  4227.125
    900 istio            10    1046907   1969.658   1969.677  3559.875  15177.902  14551.449  2992.038  21201.073  17881.351  3110.038
    900 st5-AttUpd       10    1049267  10326.412   8980.581  5605.959  22594.856  21314.764  5141.155  33664.618  26858.322  6411.555
   1000 istio            10    1162949   7468.072   5919.436  4294.218  19323.270  18704.793  3205.628  25355.855  22010.938  3509.174
   1000 st5-AttUpd       10    1100982  15245.737  14446.181  3434.017  26024.579  25308.364  2763.446  31521.965  30260.295  2096.777
   1100 istio            10    1275973   9001.989   7634.738  3631.596  20097.650  19535.461  3104.243  26494.917  22591.587  3241.884
   1100 st5-AttUpd       10    1231302  15500.135  16361.061  8960.443  29121.449  28403.301 10182.888  52563.811  33284.778 11505.757
   1200 istio            10    1411948  12844.293  11747.327  4015.829  24266.172  22654.156  3916.199  30047.554  25826.775  4073.411
   1200 st5-AttUpd       10    1341545  18534.759  17721.753  5006.481  29832.169  28126.412  4970.012  37985.515  33397.179  5833.237
