# rps  istio_p50  istio_p90  istio_p99  st5-AttUpd_p50  st5-AttUpd_p90  st5-AttUpd_p99
100  26.545950  32.280700  93.990680  25.949909  31.562636  54.720000
200  23.242549  28.229907  44.898849  22.843157  27.976822  43.013788
400  23.379670  31.027614  81.367598  22.973296  30.135481  55.495427
600  23.867025  34.833069  84.749758  24.168739  41.756666  2706.668251
800  26.263939  39.781165  77.605664  25.899009  38.607062  67.708980
1000  29.445625  48.643446  110.345108  29.431495  64.712841  3852.319910
1200  33.725352  75.386896  849.497831  34.834875  1192.243470  5386.327222
1400  32.526341  60.008027  104.129185  32.699097  68.954791  3026.560352
1600  29.821800  54.634543  90.145734  29.909614  59.961746  2737.250050
1800  28.007458  51.851962  85.586819  27.931918  54.332594  1479.724585
2000  26.732647  50.609202  85.675833  27.677051  70.867718  4220.708760
2200  26.394196  50.950721  86.598910  26.407151  57.299554  2815.390531
2400  27.141273  54.124710  93.418025  27.304469  62.825049  2658.946843
2600  29.829326  63.137639  112.928136  30.360354  75.172449  3245.188974
2800  44.334947  148.428529  1381.263753  53.449525  2612.486324  6471.998349
3000  65.115129  247.314538  1769.558987  77.236499  3250.613353  11844.224817
3200  317.423063  2334.648771  5864.313025  256.797042  2624.977266  7370.442729
