# Pooled-histogram latency for istio
# QPS        p50(ms)      p90(ms)      p99(ms)
  100        26.55        32.28        93.99       
  200        23.24        28.23        44.90       
  400        23.38        31.03        81.37       
  600        23.87        34.83        84.75       
  800        26.26        39.78        77.61       
  1000       29.45        48.64        110.35      
  1200       33.73        75.39        849.50      
  1400       32.53        60.01        104.13      
  1600       29.82        54.63        90.15       
  1800       28.01        51.85        85.59       
  2000       26.73        50.61        85.68       
  2200       26.39        50.95        86.60       
  2400       27.14        54.12        93.42       
  2600       29.83        63.14        112.93      
  2800       44.33        148.43       1381.26     
  3000       65.12        247.31       1769.56     
  3200       317.42       2334.65      5864.31     
