# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
100  93.990680  91.463370  21.862051  54.720000  56.529058  11.333412
200  44.898849  44.398568  1.796495  43.013788  42.934241  2.905202
400  81.367598  113.489023  74.890493  55.495427  60.070252  14.933734
600  84.749758  85.198507  24.875867  2706.668251  2581.482166  389.605867
800  77.605664  89.492735  34.555931  67.708980  66.937656  4.449634
1000  110.345108  140.207747  135.352891  3852.319910  3630.469404  793.594718
1200  849.497831  809.018095  136.540638  5386.327222  4022.417782  2707.713917
1400  104.129185  113.702637  40.351277  3026.560352  2490.112314  1584.327779
1600  90.145734  89.243474  1.609622  2737.250050  940.848488  1815.910130
1800  85.586819  84.867127  2.051732  1479.724585  451.089713  1160.814077
2000  85.675833  84.502340  2.266045  4220.708760  3257.192541  2024.883280
2200  86.598910  85.542993  4.609731  2815.390531  956.927143  1897.168270
2400  93.418025  92.104307  3.904236  2658.946843  1579.324560  1617.688236
2600  112.928136  111.875349  10.356950  3245.188974  1042.526791  1962.344952
2800  1381.263753  996.335227  1044.975216  6471.998349  4266.341122  3195.811744
3000  1769.558987  1709.131120  1053.588341  11844.224817  4445.231227  4308.109247
3200  5864.313025  4961.066076  1897.041499  7370.442729  4488.678235  3059.291584
