# pooled-histogram percentiles vs per-run mean+/-std
#   rps strat        n_runs  n_samples   p50_pool   p50_mean   p50_std   p90_pool   p90_mean   p90_std   p99_pool   p99_mean   p99_std
    100 istio            10     104672     26.546     26.239     0.660     32.281     31.969     0.874     93.991     91.463    21.862
    100 st5-AttUpd       10     104670     25.950     25.713     0.340     31.563     31.327     0.648     54.720     56.529    11.333
    200 istio            10     209297     23.243     23.017     0.383     28.230     27.978     0.392     44.899     44.399     1.796
    200 st5-AttUpd       10     209300     22.843     22.684     0.280     27.977     27.709     0.450     43.014     42.934     2.905
    400 istio            10     437643     23.380     23.141     0.171     31.028     30.631     0.636     81.368    113.489    74.890
    400 st5-AttUpd       10     437642     22.973     22.839     0.081     30.135     29.786     0.233     55.495     60.070    14.934
    600 istio            10     652181     23.867     23.554     0.435     34.833     34.255     1.504     84.750     85.199    24.876
    600 st5-AttUpd       10     652208     24.169     23.743     0.413     41.757     40.777     2.621   2706.668   2581.482   389.606
    800 istio            10     880921     26.264     25.740     0.664     39.781     39.013     1.271     77.606     89.493    34.556
    800 st5-AttUpd       10     880909     25.899     25.532     0.815     38.607     38.015     1.466     67.709     66.938     4.450
   1000 istio            10    1093345     29.446     28.930     0.510     48.643     47.807     1.716    110.345    140.208   135.353
   1000 st5-AttUpd       10    1093346     29.431     28.933     0.816     64.713    240.981   393.792   3852.320   3630.469   793.595
   1200 istio            10    1322711     33.725     33.233     0.453     75.387     73.487     6.139    849.498    809.018   136.541
   1200 st5-AttUpd       10    1324416     34.835     34.007     1.635   1192.243   1285.071  1400.551   5386.327   4022.418  2707.714
   1400 istio            10    1535576     32.526     32.311     0.232     60.008     58.821     1.059    104.129    113.703    40.351
   1400 st5-AttUpd       10    1535587     32.699     32.095     0.555     68.955     90.258    63.894   3026.560   2490.112  1584.328
   1600 istio            10    1764007     29.822     29.453     0.281     54.635     53.727     0.654     90.146     89.243     1.610
   1600 st5-AttUpd       10    1763915     29.910     29.591     1.395     59.962    334.524   637.078   2737.250    940.848  1815.910
   1800 istio            10    1973881     28.007     27.489     0.373     51.852     50.873     0.975     85.587     84.867     2.052
   1800 st5-AttUpd       10    1973850     27.932     27.485     1.149     54.333    193.109   452.055   1479.725    451.090  1160.814
   2000 istio            10    2204696     26.733     26.300     0.440     50.609     49.823     1.146     85.676     84.502     2.266
   2000 st5-AttUpd       10    2204717     27.677     27.090     1.018     70.868    337.855   602.962   4220.709   3257.193  2024.883
   2200 istio            10    2418593     26.394     25.636     0.817     50.951     49.762     2.193     86.599     85.543     4.610
   2200 st5-AttUpd       10    2418497     26.407     25.887     1.458     57.300    327.321   709.754   2815.391    956.927  1897.168
   2400 istio            10    2647541     27.141     26.325     0.711     54.125     53.113     1.976     93.418     92.104     3.904
   2400 st5-AttUpd       10    2647557     27.304     26.586     2.111     62.825    159.017   315.638   2658.947   1579.325  1617.688
   2600 istio            10    2859733     29.829     28.866     0.860     63.138     61.602     2.466    112.928    111.875    10.357
   2600 st5-AttUpd       10    2859632     30.360     30.065     4.072     75.172    470.690   873.812   3245.189   1042.527  1962.345
   2800 istio            10    3089069     44.335     42.073     8.105    148.429    233.356   204.301   1381.264    996.335  1044.975
   2800 st5-AttUpd       10    3073935     53.450    110.879   193.331   2612.486   2180.953  1704.922   6471.998   4266.341  3195.812
   3000 istio            10    3302756     65.115     62.527    11.582    247.315    314.841   253.038   1769.559   1709.131  1053.588
   3000 st5-AttUpd       10    3289998     77.236    711.980  2033.911   3250.613   2234.668  3569.987  11844.225   4445.231  4308.109
   3200 istio            10    3504621    317.423    310.821   109.432   2334.649   2308.402  1618.865   5864.313   4961.066  1897.041
   3200 st5-AttUpd       10    3495667    256.797    470.604   760.223   2624.977   2040.217  2352.814   7370.443   4488.678  3059.292
