index,timestamp,compose-post-service,home-timeline-redis,home-timeline-service,jaeger,media-frontend,media-memcached,media-mongodb,media-service,nginx-thrift,post-storage-memcached,post-storage-mongodb,post-storage-service,social-graph-mongodb,social-graph-redis,social-graph-service,text-service,unique-id-service,url-shorten-memcached,url-shorten-mongodb,url-shorten-service,user-memcached,user-mention-service,user-mongodb,user-service,user-timeline-mongodb,user-timeline-redis,user-timeline-service,total
0,1786758758,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
1,1786758759,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
2,1786758760,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
3,1786758761,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
4,1786758762,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
5,1786758763,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
6,1786758764,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
7,1786758765,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
8,1786758766,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
9,1786758767,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
10,1786758768,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
11,1786758769,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
12,1786758770,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
13,1786758771,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
14,1786758772,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
15,1786758773,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
16,1786758774,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
17,1786758775,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
18,1786758776,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
19,1786758777,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
20,1786758778,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
21,1786758779,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
22,1786758780,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
23,1786758781,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
24,1786758782,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
25,1786758783,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
26,1786758784,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
27,1786758785,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
28,1786758786,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
29,1786758787,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
30,1786758788,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
31,1786758789,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
32,1786758790,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
33,1786758791,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
34,1786758792,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
35,1786758793,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
36,1786758794,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
37,1786758795,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
38,1786758796,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
39,1786758797,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
40,1786758798,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
41,1786758799,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
42,1786758800,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
43,1786758801,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
44,1786758802,5,1,3,1,1,1,1,2,3,1,1,3,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,51
45,1786758803,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
46,1786758804,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
47,1786758805,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
48,1786758806,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
49,1786758807,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
50,1786758808,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
51,1786758809,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
52,1786758810,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
53,1786758811,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
54,1786758812,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
55,1786758813,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
56,1786758814,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
57,1786758815,5,1,3,1,1,1,1,2,3,1,1,4,1,1,3,3,2,1,1,2,1,5,1,2,1,1,3,52
