NAME                                              READY   STATUS    RESTARTS   AGE   IP                NODE      NOMINATED NODE   READINESS GATES
compose-post-service-57d9d9ff9c-lks5l             2/2     Running   0          21s   192.168.1.107     node-2    <none>           <none>
home-timeline-redis-5c5774845b-7vmgw              2/2     Running   0          21s   192.168.3.236     node-5    <none>           <none>
home-timeline-service-6cbd7fbcc7-bk5rv            2/2     Running   0          21s   192.168.34.107    node-9    <none>           <none>
jaeger-65b95788f4-pjlc8                           2/2     Running   0          21s   192.168.84.163    node-3    <none>           <none>
media-frontend-56cb6f7ff6-qcdft                   2/2     Running   0          20s   192.168.119.186   node-1    <none>           <none>
media-memcached-744795df67-gmjzs                  2/2     Running   0          20s   192.168.49.236    node-6    <none>           <none>
media-mongodb-69dbb58784-6bnn2                    2/2     Running   0          19s   192.168.1.109     node-2    <none>           <none>
media-service-dc6bcb6c5-gntb7                     2/2     Running   0          18s   192.168.104.169   node-14   <none>           <none>
nfs-subdir-external-provisioner-5c8bf6748-7hhqv   1/1     Running   0          23h   192.168.54.195    node-8    <none>           <none>
nginx-thrift-8694584c85-g8rlj                     2/2     Running   0          19s   192.168.116.242   node-4    <none>           <none>
post-storage-memcached-76dcbfbb7-jfvcp            2/2     Running   0          21s   192.168.54.221    node-8    <none>           <none>
post-storage-mongodb-6b459b8c58-h9xkq             2/2     Running   0          19s   192.168.69.234    node-10   <none>           <none>
post-storage-service-7b85f96d44-q27mk             2/2     Running   0          19s   192.168.44.232    node-12   <none>           <none>
social-graph-mongodb-64685bbc98-t2gbk             2/2     Running   0          21s   192.168.56.159    node-7    <none>           <none>
social-graph-redis-85b594b767-78rh2               2/2     Running   0          21s   192.168.104.171   node-14   <none>           <none>
social-graph-service-d59d66fbb-lh97h              2/2     Running   0          19s   192.168.34.108    node-9    <none>           <none>
text-service-868ddf545d-cz6cj                     2/2     Running   0          21s   192.168.26.233    node-15   <none>           <none>
unique-id-service-6f6998d8c-mj5x4                 2/2     Running   0          21s   192.168.6.113     node-16   <none>           <none>
url-shorten-memcached-7b78687b4f-6qc44            2/2     Running   0          20s   192.168.9.175     node-17   <none>           <none>
url-shorten-mongodb-95c764869-cnf95               2/2     Running   0          21s   192.168.69.229    node-10   <none>           <none>
url-shorten-service-77bb864ff-kbsgw               2/2     Running   0          21s   192.168.8.230     node-13   <none>           <none>
user-memcached-5d5bdc6b57-zzdfx                   2/2     Running   0          21s   192.168.44.227    node-12   <none>           <none>
user-mention-service-7f84976996-rgsxf             2/2     Running   0          19s   192.168.96.233    node-11   <none>           <none>
user-mongodb-7b88dd7db9-2x7k7                     2/2     Running   0          21s   192.168.96.235    node-11   <none>           <none>
user-service-6dd68d8c4-r48jp                      2/2     Running   0          20s   192.168.116.244   node-4    <none>           <none>
user-timeline-mongodb-66cf7fb4f-vtrbp             2/2     Running   0          18s   192.168.8.231     node-13   <none>           <none>
user-timeline-redis-6dc4b7fd76-x9zsl              2/2     Running   0          20s   192.168.84.162    node-3    <none>           <none>
user-timeline-service-6f5dd55957-9wh42            2/2     Running   0          21s   192.168.49.245    node-6    <none>           <none>
