index,timestamp,compose-post-service,home-timeline-redis,home-timeline-service,jaeger,media-frontend,media-memcached,media-mongodb,media-service,nginx-thrift,post-storage-memcached,post-storage-mongodb,post-storage-service,social-graph-mongodb,social-graph-redis,social-graph-service,text-service,unique-id-service,url-shorten-memcached,url-shorten-mongodb,url-shorten-service,user-memcached,user-mention-service,user-mongodb,user-service,user-timeline-mongodb,user-timeline-redis,user-timeline-service,total
0,1786758166,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
1,1786758167,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
2,1786758168,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
3,1786758169,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
4,1786758170,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
5,1786758171,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
6,1786758172,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
7,1786758173,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
8,1786758174,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
9,1786758175,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
10,1786758176,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
11,1786758177,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
12,1786758178,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
13,1786758179,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
14,1786758180,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
15,1786758181,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
16,1786758182,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
17,1786758183,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
18,1786758184,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
19,1786758185,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
20,1786758186,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
21,1786758187,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
22,1786758188,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
23,1786758189,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
24,1786758190,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
25,1786758191,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
26,1786758192,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,3,1,1,2,1,4,1,1,1,1,7,90
27,1786758193,7,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,4,1,1,1,1,7,89
28,1786758194,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,4,1,1,1,1,7,88
29,1786758195,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,4,1,1,1,1,7,88
30,1786758196,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,4,1,1,1,1,7,88
31,1786758197,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,4,1,1,1,1,7,88
32,1786758198,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
33,1786758199,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
34,1786758200,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
35,1786758201,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
36,1786758202,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
37,1786758203,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
38,1786758204,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
39,1786758205,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
40,1786758206,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
41,1786758207,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
42,1786758208,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
43,1786758209,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
44,1786758210,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
45,1786758211,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
46,1786758212,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
47,1786758213,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
48,1786758214,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
49,1786758215,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
50,1786758216,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
51,1786758217,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
52,1786758218,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
53,1786758219,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
54,1786758220,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
55,1786758221,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
56,1786758222,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
57,1786758223,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
58,1786758224,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
59,1786758225,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
60,1786758226,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
61,1786758227,6,1,14,1,1,1,1,1,15,1,1,15,1,1,3,3,2,1,1,2,1,5,1,1,1,1,7,89
