NAME                                              READY   STATUS    RESTARTS   AGE   IP                NODE      NOMINATED NODE   READINESS GATES
compose-post-service-55fbd968fd-mwqfb             2/2     Running   0          20s   192.168.84.155    node-3    <none>           <none>
home-timeline-redis-5cc49cc9ff-zgdg4              2/2     Running   0          20s   192.168.9.168     node-17   <none>           <none>
home-timeline-service-5985b74b5b-x8c8f            2/2     Running   0          19s   192.168.3.227     node-5    <none>           <none>
jaeger-6dc8cc8cf5-5cnd2                           2/2     Running   0          18s   192.168.44.225    node-12   <none>           <none>
media-frontend-84556d5b7c-gkxcj                   2/2     Running   0          17s   192.168.54.208    node-8    <none>           <none>
media-memcached-77dd6bf7f4-66hq5                  2/2     Running   0          20s   192.168.116.237   node-4    <none>           <none>
media-mongodb-55765bd9df-9t4dt                    2/2     Running   0          18s   192.168.96.226    node-11   <none>           <none>
media-service-7f677df9fb-k6wtv                    2/2     Running   0          19s   192.168.49.234    node-6    <none>           <none>
nfs-subdir-external-provisioner-5c8bf6748-7hhqv   1/1     Running   0          23h   192.168.54.195    node-8    <none>           <none>
nginx-thrift-7f6c544cc6-9j52k                     2/2     Running   0          17s   192.168.34.98     node-9    <none>           <none>
post-storage-memcached-76ff7d598-k8tbp            2/2     Running   0          20s   192.168.96.227    node-11   <none>           <none>
post-storage-mongodb-5c89c8b785-7tg6r             2/2     Running   0          20s   192.168.1.100     node-2    <none>           <none>
post-storage-service-57d9b7db5f-lfgl9             2/2     Running   0          20s   192.168.3.226     node-5    <none>           <none>
social-graph-mongodb-78cbd564fc-xh5pg             2/2     Running   0          19s   192.168.56.149    node-7    <none>           <none>
social-graph-redis-c4b7c7c8b-tsrll                2/2     Running   0          20s   192.168.26.226    node-15   <none>           <none>
social-graph-service-8644599b45-7hqhg             2/2     Running   0          20s   192.168.54.209    node-8    <none>           <none>
text-service-68bbbcbbcf-9zr5g                     2/2     Running   0          18s   192.168.6.104     node-16   <none>           <none>
unique-id-service-74bf54c45d-xzw4x                2/2     Running   0          20s   192.168.104.159   node-14   <none>           <none>
url-shorten-memcached-7458448456-spxq7            2/2     Running   0          20s   192.168.8.221     node-13   <none>           <none>
url-shorten-mongodb-66c7c55668-54txc              2/2     Running   0          19s   192.168.8.222     node-13   <none>           <none>
url-shorten-service-7fcb44646b-6nhv6              2/2     Running   0          20s   192.168.34.99     node-9    <none>           <none>
user-memcached-5945b8d7f6-whcxn                   2/2     Running   0          20s   192.168.44.219    node-12   <none>           <none>
user-mention-service-669bffbc7f-tjssq             2/2     Running   0          20s   192.168.69.222    node-10   <none>           <none>
user-mongodb-58d8d6bc94-jplk8                     2/2     Running   0          18s   192.168.69.220    node-10   <none>           <none>
user-service-7468b96559-pqbj2                     2/2     Running   0          19s   192.168.84.154    node-3    <none>           <none>
user-timeline-mongodb-849dd97664-zx6gd            2/2     Running   0          17s   192.168.1.99      node-2    <none>           <none>
user-timeline-redis-79d749879-6pk8j               2/2     Running   0          18s   192.168.104.162   node-14   <none>           <none>
user-timeline-service-5b6766b67b-7hlr9            2/2     Running   0          20s   192.168.6.103     node-16   <none>           <none>
