NAME                        REFERENCE                          TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
compose-post-service-hpa    Deployment/compose-post-service    3%/70%    1         30        1          15m
home-timeline-service-hpa   Deployment/home-timeline-service   7%/70%    1         30        1          15m
media-frontend-hpa          Deployment/media-frontend          0%/70%    1         16        1          15m
media-service-hpa           Deployment/media-service           0%/70%    1         16        1          15m
nginx-thrift-hpa            Deployment/nginx-thrift            43%/70%   1         40        2          15m
post-storage-service-hpa    Deployment/post-storage-service    20%/70%   1         30        1          15m
social-graph-service-hpa    Deployment/social-graph-service    1%/70%    1         30        1          15m
text-service-hpa            Deployment/text-service            2%/70%    1         16        1          15m
unique-id-service-hpa       Deployment/unique-id-service       0%/70%    1         16        1          15m
url-shorten-service-hpa     Deployment/url-shorten-service     1%/70%    1         16        1          15m
user-mention-service-hpa    Deployment/user-mention-service    0%/70%    1         16        1          15m
user-service-hpa            Deployment/user-service            0%/70%    1         16        1          15m
user-timeline-service-hpa   Deployment/user-timeline-service   6%/70%    1         30        1          15m
