NAME                        REFERENCE                          TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
compose-post-service-hpa    Deployment/compose-post-service    0%/70%    1         30        1          7m35s
home-timeline-service-hpa   Deployment/home-timeline-service   0%/70%    1         30        1          7m35s
media-frontend-hpa          Deployment/media-frontend          0%/70%    1         16        1          7m35s
media-service-hpa           Deployment/media-service           0%/70%    1         16        1          7m35s
nginx-thrift-hpa            Deployment/nginx-thrift            0%/70%    1         40        1          7m35s
post-storage-service-hpa    Deployment/post-storage-service    0%/70%    1         30        1          7m35s
social-graph-service-hpa    Deployment/social-graph-service    0%/70%    1         30        1          7m35s
text-service-hpa            Deployment/text-service            0%/70%    1         16        1          7m35s
unique-id-service-hpa       Deployment/unique-id-service       0%/70%    1         16        1          7m35s
url-shorten-service-hpa     Deployment/url-shorten-service     0%/70%    1         16        1          7m35s
user-mention-service-hpa    Deployment/user-mention-service    0%/70%    1         16        1          7m35s
user-service-hpa            Deployment/user-service            0%/70%    1         16        1          7m35s
user-timeline-service-hpa   Deployment/user-timeline-service   0%/70%    1         30        1          7m35s
