index,timestamp,compose-post-service,home-timeline-redis,home-timeline-service,jaeger,media-frontend,media-service,memcached,mongodb-sharded-configsvr,mongodb-sharded-mongos,mongodb-sharded-shardsvr,nginx-thrift,post-storage-service,social-graph-redis,social-graph-service,social-network-mcrouter,text-service,unique-id-service,url-shorten-service,user-mention-service,user-service,user-timeline-redis,user-timeline-service,total,pending,notready
0,1789067484,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
1,1789067485,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
2,1789067486,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
3,1789067487,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
4,1789067488,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
5,1789067489,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
6,1789067490,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
7,1789067491,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
8,1789067492,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
9,1789067493,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
10,1789067494,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
11,1789067495,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
12,1789067496,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
13,1789067497,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
14,1789067498,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
15,1789067499,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
16,1789067500,1,1,1,1,1,1,6,1,3,6,2,1,1,1,3,1,1,1,1,1,1,1,37,0,0
