NAME                                              READY   STATUS      RESTARTS   AGE     IP                NODE      NOMINATED NODE   READINESS GATES
compose-post-service-57d9d9ff9c-tkpzv             2/2     Running     0          3m48s   192.168.9.145     node-17   <none>           <none>
home-timeline-redis-5c5774845b-pfw4t              2/2     Running     0          3m48s   192.168.69.245    node-10   <none>           <none>
home-timeline-service-6cbd7fbcc7-8ptkw            2/2     Running     0          3m48s   192.168.8.211     node-13   <none>           <none>
jaeger-65b95788f4-xvq5l                           2/2     Running     0          3m48s   192.168.116.246   node-4    <none>           <none>
media-frontend-56cb6f7ff6-tvqrk                   2/2     Running     0          3m48s   192.168.6.91      node-16   <none>           <none>
media-service-dc6bcb6c5-6l6xj                     2/2     Running     0          3m47s   192.168.104.156   node-14   <none>           <none>
mongodb-sharded-configsvr-0                       2/2     Running     0          3m48s   192.168.26.199    node-15   <none>           <none>
mongodb-sharded-mongos-5db875457d-59jsv           2/2     Running     0          3m47s   192.168.3.202     node-5    <none>           <none>
mongodb-sharded-mongos-5db875457d-mljkx           2/2     Running     0          3m46s   192.168.56.173    node-7    <none>           <none>
mongodb-sharded-mongos-5db875457d-wz4cd           2/2     Running     0          3m46s   192.168.44.249    node-12   <none>           <none>
mongodb-sharded-shard0-data-0                     2/2     Running     0          3m48s   192.168.104.151   node-14   <none>           <none>
mongodb-sharded-shard0-data-1                     2/2     Running     0          2m30s   192.168.9.155     node-17   <none>           <none>
mongodb-sharded-shard1-data-0                     2/2     Running     0          3m48s   192.168.84.132    node-3    <none>           <none>
mongodb-sharded-shard1-data-1                     2/2     Running     0          2m27s   192.168.26.251    node-15   <none>           <none>
mongodb-sharded-shard2-data-0                     2/2     Running     0          3m48s   192.168.3.205     node-5    <none>           <none>
mongodb-sharded-shard2-data-1                     2/2     Running     0          2m38s   192.168.8.217     node-13   <none>           <none>
nfs-subdir-external-provisioner-5c8bf6748-whg9x   1/1     Running     0          10d     192.168.96.193    node-11   <none>           <none>
nginx-thrift-8694584c85-mckzb                     2/2     Running     0          3m48s   192.168.6.85      node-16   <none>           <none>
post-storage-service-7b85f96d44-92qbz             2/2     Running     0          3m47s   192.168.34.103    node-9    <none>           <none>
setup-collection-sharding-hook                    0/2     Completed   0          3m48s   192.168.26.196    node-15   <none>           <none>
setup-mcrouter-configmap                          0/1     Completed   0          96s     192.168.116.196   node-4    <none>           <none>
social-graph-redis-85b594b767-269q7               2/2     Running     0          3m48s   192.168.56.167    node-7    <none>           <none>
social-graph-service-d59d66fbb-v5cbp              2/2     Running     0          3m47s   192.168.9.156     node-17   <none>           <none>
social-network-mcrouter-0                         2/2     Running     0          49s     192.168.96.207    node-11   <none>           <none>
social-network-mcrouter-1                         2/2     Running     0          65s     192.168.49.253    node-6    <none>           <none>
social-network-mcrouter-2                         2/2     Running     0          82s     192.168.54.241    node-8    <none>           <none>
social-network-memcached-0                        2/2     Running     0          3m48s   192.168.84.133    node-3    <none>           <none>
social-network-memcached-1                        2/2     Running     0          3m38s   192.168.116.255   node-4    <none>           <none>
social-network-memcached-2                        2/2     Running     0          3m32s   192.168.8.216     node-13   <none>           <none>
social-network-memcached-3                        2/2     Running     0          3m22s   192.168.49.251    node-6    <none>           <none>
social-network-memcached-4                        2/2     Running     0          3m12s   192.168.56.165    node-7    <none>           <none>
social-network-memcached-5                        2/2     Running     0          3m1s    192.168.96.205    node-11   <none>           <none>
text-service-868ddf545d-v8txt                     2/2     Running     0          3m48s   192.168.49.231    node-6    <none>           <none>
unique-id-service-6f6998d8c-c2vcb                 2/2     Running     0          3m48s   192.168.44.229    node-12   <none>           <none>
url-shorten-service-77bb864ff-t8jv9               2/2     Running     0          3m48s   192.168.96.211    node-11   <none>           <none>
user-mention-service-7f84976996-8jvtp             2/2     Running     0          3m48s   192.168.54.242    node-8    <none>           <none>
user-service-6dd68d8c4-pjn82                      2/2     Running     0          3m48s   192.168.69.251    node-10   <none>           <none>
user-timeline-redis-6dc4b7fd76-nvln5              2/2     Running     0          3m48s   192.168.26.195    node-15   <none>           <none>
user-timeline-service-6f5dd55957-xqgz9            2/2     Running     0          3m48s   192.168.34.90     node-9    <none>           <none>
