# Data behind plot_sn_pod_final.pdf/.png -- per-service fleet at the END of each step.
#
# SOURCE     <run-dir>/<strategy>/pods-<rps>-sum.csv, written by
#            summarize_sn_pods.py from the raw pods-<rps>.csv that
#            run-socialnetwork-strategies.sh polls once a second for the whole
#            load step. A pod counts toward `total` only when it is BOTH
#            phase=Running AND ready=True at that sample, so pods that exist but
#            are not yet serving traffic are excluded.
# TRANSFORM  the LAST row of each pods-<rps>-sum.csv, kept split per service
#            instead of summed. This is where the replicas counted by
#            plot_sn_pod_growth actually went.
#            A service appears for a step only when at least one arm ended that
#            step with a non-zero count -- the same filter the figure applies,
#            so the rows here are exactly the bars there.
# UNITS      ready pods, per service.
# LAYOUT     one row per (RPS step, service); one column per strategy.
# rps	service	Istio	Mazu
100	compose-post-service	1	1
100	home-timeline-redis	1	1
100	home-timeline-service	1	1
100	jaeger	1	1
100	media-frontend	1	1
100	media-service	1	1
100	memcached	6	6
100	mongodb-sharded-configsvr	1	1
100	mongodb-sharded-mongos	3	3
100	mongodb-sharded-shardsvr	6	6
100	nginx-thrift	1	1
100	post-storage-service	1	1
100	social-graph-redis	1	1
100	social-graph-service	1	1
100	social-network-mcrouter	3	3
100	text-service	1	1
100	unique-id-service	1	1
100	url-shorten-service	1	1
100	user-mention-service	1	1
100	user-service	1	1
100	user-timeline-redis	1	1
100	user-timeline-service	1	1
200	compose-post-service	1	1
200	home-timeline-redis	1	1
200	home-timeline-service	1	1
200	jaeger	1	1
200	media-frontend	1	1
200	media-service	1	1
200	memcached	6	6
200	mongodb-sharded-configsvr	1	1
200	mongodb-sharded-mongos	3	3
200	mongodb-sharded-shardsvr	6	6
200	nginx-thrift	2	2
200	post-storage-service	1	1
200	social-graph-redis	1	1
200	social-graph-service	1	1
200	social-network-mcrouter	3	3
200	text-service	1	1
200	unique-id-service	1	1
200	url-shorten-service	1	1
200	user-mention-service	1	1
200	user-service	1	1
200	user-timeline-redis	1	1
200	user-timeline-service	1	1
400	compose-post-service	1	1
400	home-timeline-redis	1	1
400	home-timeline-service	1	1
400	jaeger	1	1
400	media-frontend	1	1
400	media-service	1	1
400	memcached	6	6
400	mongodb-sharded-configsvr	1	1
400	mongodb-sharded-mongos	3	3
400	mongodb-sharded-shardsvr	6	6
400	nginx-thrift	3	3
400	post-storage-service	1	1
400	social-graph-redis	1	1
400	social-graph-service	1	1
400	social-network-mcrouter	3	3
400	text-service	1	1
400	unique-id-service	1	1
400	url-shorten-service	1	1
