# Data behind plot_sn_pod_totals.pdf/.png -- ready pods over time inside each step.
#
# SOURCE     <run-dir>/<strategy>/pods-<rps>-sum.csv, written by
#            summarize_sn_pods.py from the raw pods-<rps>.csv that
#            run-socialnetwork-strategies.sh polls once a second for the whole
#            load step. A pod counts toward `total` only when it is BOTH
#            phase=Running AND ready=True at that sample, so pods that exist but
#            are not yet serving traffic are excluded.
# TRANSFORM  none beyond that per-sample count: one column per (RPS step,
#            strategy), one row per sample, values copied straight from `total`.
#            elapsed_s is the sample index; the poll runs at 1 Hz, so it is also
#            seconds since the step's polling began.
#            Steps do not all have the same number of samples, so short columns
#            are padded with N/A rather than repeating their last value -- a
#            flat tail there would read as a settled fleet that was never
#            observed.
# UNITS      ready pods, summed over every service.
# LAYOUT     one row per elapsed second; one column per (RPS step, strategy).
# elapsed_s	100rps_Istio	100rps_Mazu	200rps_Istio	200rps_Mazu	400rps_Istio	400rps_Mazu	600rps_Istio	600rps_Mazu	800rps_Istio	800rps_Mazu	1000rps_Istio	1000rps_Mazu	1200rps_Istio	1200rps_Mazu	1400rps_Istio	1400rps_Mazu	1600rps_Istio	1600rps_Mazu	1800rps_Istio	1800rps_Mazu	2000rps_Istio	2000rps_Mazu
0	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
1	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
2	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
3	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
4	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
5	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
6	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
7	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
8	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
9	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
10	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
11	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
12	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
13	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
14	36	36	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47
15	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
16	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
17	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
18	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
19	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
20	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
21	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
22	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
23	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
24	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
25	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
26	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
27	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
28	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
29	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
30	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
31	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
32	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
33	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
34	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
35	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
36	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
37	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
38	36	36	36	36	37	37	38	38	40	39	42	42	45	44	47	47	50	47	50	47	50	47
39	36	36	36	36	37	37	38	38	40	39	42	42	45	45	47	47	50	47	50	47	50	47
40	36	36	36	36	37	37	38	38	40	39	42	42	45	45	47	47	50	47	50	47	50	47
41	36	36	36	36	37	37	38	38	40	39	42	42	45	45	47	47	50	47	50	47	50	47
42	36	36	36	36	37	37	38	38	40	39	42	42	45	45	47	47	50	47	50	47	50	47
43	36	36	36	36	37	37	38	38	41	39	42	42	45	45	47	47	50	47	50	47	50	47
44	36	36	36	36	37	37	38	38	41	39	42	42	45	45	47	47	50	47	50	47	50	47
45	36	36	36	36	37	37	38	38	41	39	42	42	45	45	47	47	50	47	50	47	50	47
46	36	36	36	36	37	37	38	38	41	40	42	42	45	45	47	47	50	47	50	47	50	47
47	36	36	36	36	37	37	38	38	41	40	42	42	45	45	47	47	50	47	50	47	50	47
48	36	36	36	36	37	37	38	38	41	40	42	42	45	45	47	47	50	47	50	47	50	47
49	36	36	36	36	37	37	38	38	41	40	42	42	45	45	47	47	50	47	50	47	50	47
50	36	36	36	36	37	37	38	38	41	40	42	42	45	45	47	47	50	47	50	47	50	47
51	36	36	36	36	37	37	38	38	41	40	42	42	46	45	48	47	50	47	50	47	50	47
52	36	36	36	36	37	37	39	38	41	40	42	42	46	45	48	47	50	47	50	47	50	47
53	36	36	36	36	38	37	39	38	42	40	44	42	46	45	49	47	50	47	50	47	50	47
54	36	36	37	36	38	37	39	39	42	40	44	43	47	46	49	47	50	47	50	47	50	47
55	36	36	37	37	38	37	40	39	42	40	44	43	47	46	50	47	50	47	50	47	50	47
56	36	36	37	37	38	37	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
57	36	36	37	37	38	37	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
58	36	36	37	37	38	37	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
59	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
60	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
61	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
62	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
63	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
64	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
65	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
66	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
67	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
68	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
69	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
70	36	36	37	37	38	38	40	39	42	41	44	43	47	47	50	47	50	47	50	47	50	47
71	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
72	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
73	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
74	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
75	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
76	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
77	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
78	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
79	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
80	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
81	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
82	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
83	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
84	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
85	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
86	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
87	36	36	37	37	38	38	40	39	42	42	44	43	47	47	50	47	50	47	50	47	50	47
88	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
89	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
90	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
91	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
92	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
93	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
94	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
95	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
96	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
97	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
98	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
99	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
100	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
101	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
102	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
103	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
104	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
105	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
106	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
107	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
108	36	36	37	37	38	38	40	39	42	42	45	43	47	47	50	47	50	47	50	47	50	47
