NAME                                              READY   STATUS      RESTARTS   AGE     IP                NODE      NOMINATED NODE   READINESS GATES
compose-post-service-55fbd968fd-lshjp             2/2     Running     0          2m40s   192.168.49.244    node-6    <none>           <none>
home-timeline-redis-5cc49cc9ff-n5g5g              2/2     Running     0          2m40s   192.168.34.92     node-9    <none>           <none>
home-timeline-service-5985b74b5b-c85sm            2/2     Running     0          2m40s   192.168.96.201    node-11   <none>           <none>
jaeger-6dc8cc8cf5-l49w5                           2/2     Running     0          2m40s   192.168.104.154   node-14   <none>           <none>
media-frontend-84556d5b7c-bg2n5                   2/2     Running     0          2m40s   192.168.104.152   node-14   <none>           <none>
media-service-7f677df9fb-vrhlh                    2/2     Running     0          2m40s   192.168.8.204     node-13   <none>           <none>
mongodb-sharded-configsvr-0                       2/2     Running     0          2m40s   192.168.44.236    node-12   <none>           <none>
mongodb-sharded-mongos-d47479b89-v2ncn            2/2     Running     0          2m38s   192.168.3.206     node-5    <none>           <none>
mongodb-sharded-mongos-d47479b89-zfmx4            2/2     Running     0          2m38s   192.168.84.183    node-3    <none>           <none>
mongodb-sharded-mongos-d47479b89-zkg4c            2/2     Running     0          2m39s   192.168.34.89     node-9    <none>           <none>
mongodb-sharded-shard0-data-0                     2/2     Running     0          2m40s   192.168.26.243    node-15   <none>           <none>
mongodb-sharded-shard0-data-1                     2/2     Running     0          76s     192.168.34.97     node-9    <none>           <none>
mongodb-sharded-shard1-data-0                     2/2     Running     0          2m40s   192.168.44.230    node-12   <none>           <none>
mongodb-sharded-shard1-data-1                     2/2     Running     0          69s     192.168.104.149   node-14   <none>           <none>
mongodb-sharded-shard2-data-0                     2/2     Running     0          2m40s   192.168.56.172    node-7    <none>           <none>
mongodb-sharded-shard2-data-1                     2/2     Running     0          92s     192.168.8.219     node-13   <none>           <none>
nfs-subdir-external-provisioner-5c8bf6748-whg9x   1/1     Running     0          10d     192.168.96.193    node-11   <none>           <none>
nginx-thrift-7f6c544cc6-624xj                     2/2     Running     0          2m40s   192.168.69.194    node-10   <none>           <none>
post-storage-service-57d9b7db5f-xcbcr             2/2     Running     0          2m40s   192.168.69.255    node-10   <none>           <none>
setup-collection-sharding-hook                    0/2     Completed   0          2m40s   192.168.54.201    node-8    <none>           <none>
setup-mcrouter-configmap                          0/1     Completed   0          71s     192.168.44.228    node-12   <none>           <none>
social-graph-redis-c4b7c7c8b-lblnn                2/2     Running     0          2m39s   192.168.9.152     node-17   <none>           <none>
social-graph-service-8644599b45-ln5fg             2/2     Running     0          2m40s   192.168.9.138     node-17   <none>           <none>
social-network-mcrouter-0                         2/2     Running     0          29s     192.168.6.87      node-16   <none>           <none>
social-network-mcrouter-1                         2/2     Running     0          45s     192.168.96.206    node-11   <none>           <none>
social-network-mcrouter-2                         2/2     Running     0          62s     192.168.49.249    node-6    <none>           <none>
social-network-memcached-0                        2/2     Running     0          2m40s   192.168.54.207    node-8    <none>           <none>
social-network-memcached-1                        2/2     Running     0          2m30s   192.168.8.218     node-13   <none>           <none>
social-network-memcached-2                        2/2     Running     0          2m19s   192.168.26.203    node-15   <none>           <none>
social-network-memcached-3                        2/2     Running     0          2m13s   192.168.116.243   node-4    <none>           <none>
social-network-memcached-4                        2/2     Running     0          2m2s    192.168.3.196     node-5    <none>           <none>
social-network-memcached-5                        2/2     Running     0          112s    192.168.96.208    node-11   <none>           <none>
text-service-68bbbcbbcf-ms55v                     2/2     Running     0          2m39s   192.168.56.176    node-7    <none>           <none>
unique-id-service-74bf54c45d-7dsl8                2/2     Running     0          2m40s   192.168.54.246    node-8    <none>           <none>
url-shorten-service-7fcb44646b-brzhx              2/2     Running     0          2m40s   192.168.3.197     node-5    <none>           <none>
user-mention-service-669bffbc7f-qsl8w             2/2     Running     0          2m40s   192.168.116.247   node-4    <none>           <none>
user-service-7468b96559-sffxp                     2/2     Running     0          2m39s   192.168.116.245   node-4    <none>           <none>
user-timeline-redis-79d749879-rdw4l               2/2     Running     0          2m39s   192.168.6.81      node-16   <none>           <none>
user-timeline-service-5b6766b67b-7x5k9            2/2     Running     0          2m40s   192.168.84.186    node-3    <none>           <none>
