strategy,rps_target,rps_delivered,p50_ms,p99_ms,non_2xx,timeouts,timeline_overlap_pct,pods,reset,fleet
st5-AttUpd,100,95.25,19.61,165.50,0,3409,0.0,36,off,hpa
st5-AttUpd,200,191.10,22.56,252.54,0,750,0.0,37,off,hpa
st5-AttUpd,400,400.13,26.38,414.46,0,29,0.0,38,off,hpa
st5-AttUpd,600,592.80,30.16,521.22,0,4,0.0,39,off,hpa
st5-AttUpd,800,800.54,39.39,827.90,0,0,0.0,42,off,hpa
st5-AttUpd,1000,992.42,75.97,1410.00,0,0,0.0,43,off,hpa
st5-AttUpd,1200,1193.56,619.01,5390.00,3782,0,0.0,47,off,hpa
st5-AttUpd,1400,1184.46,16920.00,46200.00,5683,0,0.0,47,off,hpa
st5-AttUpd,1600,1162.89,31700.00,72600.00,5666,0,0.0,47,off,hpa
st5-AttUpd,1800,1147.09,43840.00,91200.00,5647,0,0.0,47,off,hpa
st5-AttUpd,2000,1148.34,52200.00,106200.00,5741,0,0.0,47,off,hpa
istio,100,95.24,19.85,178.82,0,3415,0.0,36,off,hpa
istio,200,191.11,22.22,202.88,0,750,0.0,37,off,hpa
istio,400,400.29,25.60,290.82,0,30,0.0,38,off,hpa
istio,600,592.71,30.06,421.89,0,4,0.0,40,off,hpa
istio,800,801.08,45.57,2930.00,0,0,0.0,42,off,hpa
istio,1000,992.94,60.74,825.34,0,0,0.0,45,off,hpa
istio,1200,1200.73,200.06,1720.00,0,0,0.0,47,off,hpa
istio,1400,1303.71,6930.00,24300.00,0,0,0.0,50,off,hpa
istio,1600,1286.06,23890.00,52200.00,0,0,0.0,50,off,hpa
istio,1800,1273.76,35130.00,74400.00,0,0,0.0,50,off,hpa
istio,2000,1243.68,48140.00,93000.00,0,0,0.0,50,off,hpa
